,Year,Jurisdiction,Gender,Average scale score
0,2022,National,Male,239.0
1,2022,National,Female,233.0
2,2022,Alabama,Male,233.0
3,2022,Alabama,Female,228.0
4,2022,Alaska,Male,224.0
5,2022,Alaska,Female,228.0
6,2022,Arizona,Male,235.0
7,2022,Arizona,Female,229.0
8,2022,Arkansas,Male,230.0
9,2022,Arkansas,Female,227.0
10,2022,California,Male,234.0
11,2022,California,Female,227.0
12,2022,Colorado,Male,239.0
13,2022,Colorado,Female,233.0
14,2022,Connecticut,Male,237.0
15,2022,Connecticut,Female,236.0
16,2022,Delaware,Male,227.0
17,2022,Delaware,Female,224.0
18,2022,Florida,Male,244.0
19,2022,Florida,Female,238.0
20,2022,Georgia,Male,236.0
21,2022,Georgia,Female,234.0
22,2022,Hawaii,Male,238.0
23,2022,Hawaii,Female,235.0
24,2022,Idaho,Male,241.0
25,2022,Idaho,Female,231.0
26,2022,Illinois,Male,240.0
27,2022,Illinois,Female,234.0
28,2022,Indiana,Male,243.0
29,2022,Indiana,Female,235.0
30,2022,Iowa,Male,243.0
31,2022,Iowa,Female,237.0
32,2022,Kansas,Male,237.0
33,2022,Kansas,Female,233.0
34,2022,Kentucky,Male,236.0
35,2022,Kentucky,Female,232.0
36,2022,Louisiana,Male,230.0
37,2022,Louisiana,Female,227.0
38,2022,Maine,Male,236.0
39,2022,Maine,Female,231.0
40,2022,Maryland,Male,231.0
41,2022,Maryland,Female,226.0
42,2022,Massachusetts,Male,246.0
43,2022,Massachusetts,Female,238.0
44,2022,Michigan,Male,235.0
45,2022,Michigan,Female,229.0
46,2022,Minnesota,Male,243.0
47,2022,Minnesota,Female,235.0
48,2022,Mississippi,Male,235.0
49,2022,Mississippi,Female,232.0
50,2022,Missouri,Male,235.0
51,2022,Missouri,Female,229.0
52,2022,Montana,Male,241.0
53,2022,Montana,Female,236.0
54,2022,Nebraska,Male,243.0
55,2022,Nebraska,Female,240.0
56,2022,Nevada,Male,233.0
57,2022,Nevada,Female,225.0
58,2022,New Hampshire,Male,241.0
59,2022,New Hampshire,Female,238.0
60,2022,New Jersey,Male,242.0
61,2022,New Jersey,Female,236.0
62,2022,New Mexico,Male,223.0
63,2022,New Mexico,Female,219.0
64,2022,New York,Male,230.0
65,2022,New York,Female,224.0
66,2022,North Carolina,Male,237.0
67,2022,North Carolina,Female,235.0
68,2022,North Dakota,Male,242.0
69,2022,North Dakota,Female,238.0
70,2022,Ohio,Male,240.0
71,2022,Ohio,Female,235.0
72,2022,Oklahoma,Male,231.0
73,2022,Oklahoma,Female,228.0
74,2022,Oregon,Male,231.0
75,2022,Oregon,Female,226.0
76,2022,Pennsylvania,Male,240.0
77,2022,Pennsylvania,Female,235.0
78,2022,Rhode Island,Male,236.0
79,2022,Rhode Island,Female,232.0
80,2022,South Carolina,Male,236.0
81,2022,South Carolina,Female,233.0
82,2022,South Dakota,Male,241.0
83,2022,South Dakota,Female,237.0
84,2022,Tennessee,Male,239.0
85,2022,Tennessee,Female,234.0
86,2022,Texas,Male,242.0
87,2022,Texas,Female,235.0
88,2022,Utah,Male,244.0
89,2022,Utah,Female,235.0
90,2022,Vermont,Male,237.0
91,2022,Vermont,Female,231.0
92,2022,Virginia,Male,239.0
93,2022,Virginia,Female,233.0
94,2022,Washington,Male,237.0
95,2022,Washington,Female,233.0
96,2022,West Virginia,Male,227.0
97,2022,West Virginia,Female,225.0
98,2022,Wisconsin,Male,242.0
99,2022,Wisconsin,Female,238.0
100,2022,Wyoming,Male,246.0
101,2022,Wyoming,Female,241.0
102,2019,National,Male,242.0
103,2019,National,Female,239.0
104,2019,Alabama,Male,229.0
105,2019,Alabama,Female,230.0
106,2019,Alaska,Male,233.0
107,2019,Alaska,Female,232.0
108,2019,Arizona,Male,240.0
109,2019,Arizona,Female,235.0
110,2019,Arkansas,Male,235.0
111,2019,Arkansas,Female,232.0
112,2019,California,Male,236.0
113,2019,California,Female,233.0
114,2019,Colorado,Male,245.0
115,2019,Colorado,Female,239.0
116,2019,Connecticut,Male,246.0
117,2019,Connecticut,Female,241.0
118,2019,Delaware,Male,241.0
