,Jurisdiction,Gaps
0,Alabama,"[-3, 0, 0, 1, 0, -1, 1, 0, 0, -1, 5]"
1,Alaska,"[3, 4, 1, 1, 2, 2, 1, 3, 0, 1, -4]"
2,Arizona,"[0, 4, 6, 3, 0, 3, 0, 3, 3, 5, 6]"
3,Arkansas,"[0, -2, 1, 1, 3, 0, -1, 0, 2, 3, 3]"
4,California,"[-1, 4, 2, 2, 2, 1, 3, 3, 2, 3, 7]"
5,Colorado,"[3, 4, 3, 3, 2, 3, 2, 3, -1, 6, 6]"
6,Connecticut,"[2, 5, 3, 1, 3, 2, 1, 2, 4, 5, 1]"
7,Delaware,"[3, 2, 3, 1, 3, 2, 0, 2, -1, 3, 3]"
8,Florida,"[3, 2, 2, 2, 2, 0, 0, 1, 2, 4, 6]"
9,Georgia,"[2, 2, 1, 2, 1, -1, 2, 1, 1, 1, 2]"
10,Hawaii,"[-2, 1, -2, -3, -1, -2, -2, 0, 0, 0, 3]"
11,Idaho,"[-1, 4, 1, 2, 2, 2, 5, 1, 4, 3, 10]"
12,Illinois,"[2, 2, 2, 4, 3, 2, 0, 1, 3, 3, 6]"
13,Indiana,"[2, 2, 0, 2, 1, 3, 1, 1, 3, 5, 8]"
14,Iowa,"[3, 4, 4, 3, 1, 2, 3, 1, 4, 4, 6]"
15,Kansas,"[2, 4, 2, 2, 2, 1, 2, 2, 2, 5, 4]"
16,Kentucky,"[1, 3, 3, 3, 2, 2, 1, 3, 3, 0, 4]"
17,Louisiana,"[2, 1, 2, 0, 1, 0, 3, 1, 0, 2, 3]"
18,Maine,"[5, 3, 4, 3, 5, 3, 0, 3, 0, 4, 5]"
19,Maryland,"[3, 3, 3, 3, 1, 2, 2, 1, 3, 3, 5]"
20,Massachusetts,"[3, 5, 1, 3, 2, 3, 0, 5, 5, 3, 8]"
21,Michigan,"[2, 5, 4, 1, 3, 3, 1, 2, 3, 4, 6]"
22,Minnesota,"[4, 4, 2, 4, 3, 2, 1, 1, 3, 5, 8]"
23,Mississippi,"[-1, 0, 1, 1, -1, -2, -1, 0, 1, 2, 3]"
24,Missouri,"[0, 0, 4, 2, 1, -1, 1, 4, 3, 2, 6]"
25,Montana,"[5, 1, 4, 3, 5, 3, 3, 4, 1, 4, 5]"
26,National,"[3, 3, 2, 2, 2, 1, 1, 2, 2, 3, 6]"
27,Nebraska,"[0, 3, 3, 4, 0, 2, 4, 0, 3, 5, 3]"
28,Nevada,"[3, 3, 2, 3, 2, 2, 2, 1, 1, 1, 8]"
29,New Hampshire,"[3, 6, 3, 3, 2, 1, 4, 2, 3, 5, 3]"
30,New Jersey,"[3, 3, 4, 3, 3, 2, 2, 3, 1, 2, 6]"
31,New Mexico,"[5, 3, 2, 2, 2, 2, 2, 2, 1, 2, 4]"
32,New York,"[3, 2, 3, 2, 3, 1, 1, 2, 5, 3, 6]"
33,North Carolina,"[0, 2, 1, 2, 0, 1, 0, 3, 2, 1, 2]"
34,North Dakota,"[2, 5, 3, 5, 3, 2, 1, 3, 3, 2, 4]"
35,Ohio,"[4, 2, 2, 3, 3, 2, 1, 1, 1, 6, 5]"
36,Oklahoma,"[2, 2, 2, 2, 2, -1, 2, 4, 3, 3, 3]"
37,Oregon,"[3, 2, 1, 4, 4, 0, 2, 2, 4, 5, 5]"
38,Pennsylvania,"[3, 4, 1, 2, 3, 2, 0, 2, 3, 2, 5]"
39,Rhode Island,"[2, 2, 1, 1, 3, 0, 1, 0, 1, 3, 4]"
40,South Carolina,"[2, 3, 0, -2, 1, -1, -2, 1, 2, 4, 3]"
41,South Dakota,"[3, 4, 3, 2, 2, 2, 0, 1, 5, 5, 4]"
42,Tennessee,"[2, 0, 2, 3, 1, 1, 0, 1, 1, 3, 5]"
43,Texas,"[3, 3, 4, 1, 1, 0, 0, 2, 0, 3, 7]"
44,Utah,"[0, 3, 3, 3, 2, 3, 3, 3, 4, 3, 9]"
45,Vermont,"[1, 4, 5, 3, 2, 3, 2, -1, 1, 3, 6]"
46,Virginia,"[5, 1, 3, 3, 4, 3, 1, 1, 5, 3, 6]"
47,Washington,"[3, 3, 1, 3, 0, 2, 1, 0, 3, 5, 4]"
48,West Virginia,"[1, 2, 3, 3, 2, 1, 1, -1, 1, -1, 2]"
49,Wisconsin,"[3, 3, 3, 2, 3, 1, 1, 1, 3, 3, 4]"
50,Wyoming,"[3, 2, 2, 1, 2, 2, 1, 2, 3, 4, 5]"
