,Jurisdiction,Gaps
0,Alabama,"[-3.0, 0.0, 0.0, 1.0, 0.0, -1.0, 1.0, 0.0, 0.0, -1.0, 5.0]"
1,Alaska,"[3.0, 4.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0, 0.0, 1.0, -4.0]"
2,Arizona,"[0.0, 4.0, 6.0, 3.0, 0.0, 3.0, 0.0, 3.0, 3.0, 5.0, 6.0]"
3,Arkansas,"[0.0, -2.0, 1.0, 1.0, 3.0, 0.0, -1.0, 0.0, 2.0, 3.0, 3.0]"
4,California,"[-1.0, 4.0, 2.0, 2.0, 2.0, 1.0, 3.0, 3.0, 2.0, 3.0, 7.0]"
5,Colorado,"[3.0, 4.0, 3.0, 3.0, 2.0, 3.0, 2.0, 3.0, -1.0, 6.0, 6.0]"
6,Connecticut,"[2.0, 5.0, 3.0, 1.0, 3.0, 2.0, 1.0, 2.0, 4.0, 5.0, 1.0]"
7,Delaware,"[3.0, 2.0, 3.0, 1.0, 3.0, 2.0, 0.0, 2.0, -1.0, 3.0, 3.0]"
8,Florida,"[3.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 4.0, 6.0]"
9,Georgia,"[2.0, 2.0, 1.0, 2.0, 1.0, -1.0, 2.0, 1.0, 1.0, 1.0, 2.0]"
10,Hawaii,"[-2.0, 1.0, -2.0, -3.0, -1.0, -2.0, -2.0, 0.0, 0.0, 0.0, 3.0]"
11,Idaho,"[-1.0, 4.0, 1.0, 2.0, 2.0, 2.0, 5.0, 1.0, 4.0, 3.0, 10.0]"
12,Illinois,"[2.0, 2.0, 2.0, 4.0, 3.0, 2.0, 0.0, 1.0, 3.0, 3.0, 6.0]"
13,Indiana,"[2.0, 2.0, 0.0, 2.0, 1.0, 3.0, 1.0, 1.0, 3.0, 5.0, 8.0]"
14,Iowa,"[3.0, 4.0, 4.0, 3.0, 1.0, 2.0, 3.0, 1.0, 4.0, 4.0, 6.0]"
15,Kansas,"[2.0, 4.0, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 2.0, 5.0, 4.0]"
