Year,Jurisdiction,Gender,Average scale score
2022,National,Male,239
2022,National,Female,233
2019,National,Male,242
2019,National,Female,239
2017,National,Male,241
2017,National,Female,239
2015,National,Male,241
2015,National,Female,239
2013,National,Male,242
2013,National,Female,241
2011,National,Male,241
2011,National,Female,240
2009,National,Male,241
2009,National,Female,239
2007,National,Male,241
2007,National,Female,239
2005,National,Male,239
2005,National,Female,237
2003,National,Male,236
2003,National,Female,233
2000,National,Male,227
2000,National,Female,224
2000,National,Male,229
2000,National,Female,226
1996,National,Male,224
1996,National,Female,223
1996,National,Male,226
1996,National,Female,222
1992,National,Male,221
1992,National,Female,219
1990,National,Male,214
1990,National,Female,213
