,Year,Jurisdiction,Gender,Average scale score
0,2022,National,Male,275.0
1,2022,National,Female,273.0
2,2022,Alabama,Male,265.0
3,2022,Alabama,Female,264.0
4,2022,Alaska,Male,271.0
5,2022,Alaska,Female,268.0
6,2022,Arizona,Male,272.0
7,2022,Arizona,Female,270.0
8,2022,Arkansas,Male,268.0
9,2022,Arkansas,Female,266.0
10,2022,California,Male,270.0
11,2022,California,Female,269.0
12,2022,Colorado,Male,276.0
13,2022,Colorado,Female,274.0
14,2022,Connecticut,Male,278.0
15,2022,Connecticut,Female,275.0
16,2022,Delaware,Male,265.0
17,2022,Delaware,Female,263.0
22,2022,Florida,Male,272.0
23,2022,Florida,Female,270.0
24,2022,Georgia,Male,273.0
25,2022,Georgia,Female,270.0
26,2022,Hawaii,Male,270.0
27,2022,Hawaii,Female,270.0
28,2022,Idaho,Male,283.0
29,2022,Idaho,Female,281.0
30,2022,Illinois,Male,278.0
31,2022,Illinois,Female,273.0
32,2022,Indiana,Male,279.0
33,2022,Indiana,Female,278.0
34,2022,Iowa,Male,278.0
35,2022,Iowa,Female,276.0
36,2022,Kansas,Male,273.0
37,2022,Kansas,Female,271.0
38,2022,Kentucky,Male,269.0
39,2022,Kentucky,Female,269.0
40,2022,Louisiana,Male,266.0
41,2022,Louisiana,Female,265.0
42,2022,Maine,Male,274.0
43,2022,Maine,Female,271.0
44,2022,Maryland,Male,268.0
45,2022,Maryland,Female,269.0
46,2022,Massachusetts,Male,284.0
47,2022,Massachusetts,Female,283.0
48,2022,Michigan,Male,275.0
49,2022,Michigan,Female,271.0
50,2022,Minnesota,Male,281.0
51,2022,Minnesota,Female,279.0
52,2022,Mississippi,Male,266.0
53,2022,Mississippi,Female,265.0
54,2022,Missouri,Male,274.0
55,2022,Missouri,Female,270.0
56,2022,Montana,Male,278.0
57,2022,Montana,Female,277.0
58,2022,Nebraska,Male,281.0
59,2022,Nebraska,Female,278.0
60,2022,Nevada,Male,271.0
61,2022,Nevada,Female,268.0
62,2022,New Hampshire,Male,281.0
63,2022,New Hampshire,Female,276.0
64,2022,New Jersey,Male,282.0
65,2022,New Jersey,Female,280.0
66,2022,New Mexico,Male,260.0
67,2022,New Mexico,Female,258.0
68,2022,New York,Male,275.0
69,2022,New York,Female,273.0
70,2022,North Carolina,Male,273.0
71,2022,North Carolina,Female,274.0
72,2022,North Dakota,Male,280.0
73,2022,North Dakota,Female,277.0
74,2022,Ohio,Male,276.0
75,2022,Ohio,Female,276.0
76,2022,Oklahoma,Male,265.0
77,2022,Oklahoma,Female,263.0
78,2022,Oregon,Male,272.0
79,2022,Oregon,Female,268.0
80,2022,Pennsylvania,Male,276.0
