,Jurisdiction,Gaps
0,Alabama,"[2.0, -3.0, 2.0, -1.0, 0.0, 0.0, -1.0, 3.0, -3.0, 1.0]"
1,Alaska,"[2.0, 2.0, -1.0, 0.0, -1.0, 1.0, -1.0, 0.0, 5.0, 3.0]"
2,Arizona,"[0.0, 0.0, 3.0, 3.0, 6.0, 1.0, 0.0, 5.0, -2.0, 2.0]"
3,Arkansas,"[-2.0, -3.0, 0.0, -2.0, 2.0, -1.0, 0.0, 1.0, -3.0, 2.0]"
4,California,"[2.0, 1.0, 0.0, 4.0, 0.0, 2.0, -1.0, 0.0, -2.0, 1.0]"
5,Colorado,"[1.0, 0.0, 1.0, 3.0, -1.0, -1.0, 3.0, 0.0, 1.0, 2.0]"
6,Connecticut,"[2.0, 0.0, -1.0, -1.0, 2.0, 0.0, 1.0, -1.0, -1.0, 3.0]"
7,Delaware,"[2.0, 4.0, 4.0, 1.0, -2.0, 3.0, 0.0, 0.0, -1.0, 2.0]"
8,Florida,"[4.0, 4.0, 1.0, 3.0, 1.0, 2.0, -1.0, 4.0, 1.0, 2.0]"
9,Georgia,"[1.0, 1.0, 1.0, -1.0, 1.0, 0.0, 0.0, 2.0, -1.0, 3.0]"
10,Hawaii,"[-1.0, -1.0, -3.0, -5.0, -2.0, -4.0, -5.0, -4.0, -1.0, 0.0]"
11,Idaho,"[2.0, -2.0, 3.0, 2.0, 1.0, 1.0, 0.0, 2.0, 4.0, 2.0]"
12,Illinois,"[2.0, 3.0, 3.0, 4.0, 0.0, 0.0, 0.0, 5.0, 1.0, 5.0]"
13,Indiana,"[2.0, 3.0, 2.0, 3.0, 0.0, 1.0, 1.0, -1.0, 1.0, 1.0]"
14,Iowa,"[2.0, -1.0, 3.0, 1.0, 2.0, 2.0, 2.0, -1.0, 0.0, 2.0]"
15,Kansas,"[0.0, 2.0, 2.0, 3.0, 2.0, 1.0, 0.0, 5.0, 2.0, 2.0]"
16,Kentucky,"[1.0, 2.0, 3.0, 3.0, 1.0, 1.0, -2.0, -4.0, -4.0, 0.0]"
17,Louisiana,"[1.0, -1.0, 1.0, -1.0, -2.0, 0.0, -2.0, 1.0, -3.0, 1.0]"
