Year,Jurisdiction,Gender,Average scale score
2022,National,Male,239.0
2022,National,Female,233.0
2022,Alabama,Male,233.0
2022,Alabama,Female,228.0
2022,Alaska,Male,224.0
2022,Alaska,Female,228.0
2022,Arizona,Male,235.0
2022,Arizona,Female,229.0
2022,Arkansas,Male,230.0
2022,Arkansas,Female,227.0
2022,California,Male,234.0
2022,California,Female,227.0
2022,Colorado,Male,239.0
2022,Colorado,Female,233.0
2022,Connecticut,Male,237.0
2022,Connecticut,Female,236.0
2022,Delaware,Male,227.0
2022,Delaware,Female,224.0
2022,Florida,Male,244.0
2022,Florida,Female,238.0
2022,Georgia,Male,236.0
2022,Georgia,Female,234.0
2022,Hawaii,Male,238.0
2022,Hawaii,Female,235.0
2022,Idaho,Male,241.0
2022,Idaho,Female,231.0
2022,Illinois,Male,240.0
2022,Illinois,Female,234.0
2022,Indiana,Male,243.0
2022,Indiana,Female,235.0
2022,Iowa,Male,243.0
2022,Iowa,Female,237.0
2022,Kansas,Male,237.0
2022,Kansas,Female,233.0
2022,Kentucky,Male,236.0
2022,Kentucky,Female,232.0
2022,Louisiana,Male,230.0
2022,Louisiana,Female,227.0
2022,Maine,Male,236.0
2022,Maine,Female,231.0
2022,Maryland,Male,231.0
2022,Maryland,Female,226.0
2022,Massachusetts,Male,246.0
2022,Massachusetts,Female,238.0
2022,Michigan,Male,235.0
2022,Michigan,Female,229.0
2022,Minnesota,Male,243.0
2022,Minnesota,Female,235.0
2022,Mississippi,Male,235.0
2022,Mississippi,Female,232.0
2022,Missouri,Male,235.0
2022,Missouri,Female,229.0
2022,Montana,Male,241.0
2022,Montana,Female,236.0
2022,Nebraska,Male,243.0
2022,Nebraska,Female,240.0
2022,Nevada,Male,233.0
2022,Nevada,Female,225.0
2022,New Hampshire,Male,241.0
2022,New Hampshire,Female,238.0
2022,New Jersey,Male,242.0
2022,New Jersey,Female,236.0
2022,New Mexico,Male,223.0
2022,New Mexico,Female,219.0
2022,New York,Male,230.0
2022,New York,Female,224.0
2022,North Carolina,Male,237.0
2022,North Carolina,Female,235.0
2022,North Dakota,Male,242.0
2022,North Dakota,Female,238.0
2022,Ohio,Male,240.0
2022,Ohio,Female,235.0
2022,Oklahoma,Male,231.0
2022,Oklahoma,Female,228.0
2022,Oregon,Male,231.0
2022,Oregon,Female,226.0
2022,Pennsylvania,Male,240.0
2022,Pennsylvania,Female,235.0
2022,Rhode Island,Male,236.0
2022,Rhode Island,Female,232.0
2022,South Carolina,Male,236.0
2022,South Carolina,Female,233.0
2022,South Dakota,Male,241.0
