Jurisdiction,Year,Female,Male,Gap
Alabama,2003,223.0,223.0,0.0
Alabama,2005,225.0,225.0,0.0
Alabama,2007,228.0,229.0,1.0
Alabama,2009,228.0,228.0,0.0
Alabama,2011,232.0,231.0,-1.0
Alabama,2013,232.0,233.0,1.0
Alabama,2015,231.0,231.0,0.0
Alabama,2017,232.0,232.0,0.0
Alabama,2019,230.0,229.0,-1.0
Alabama,2022,228.0,233.0,5.0
Alaska,2003,231.0,235.0,4.0
Alaska,2005,235.0,236.0,1.0
Alaska,2007,237.0,238.0,1.0
Alaska,2009,236.0,238.0,2.0
Alaska,2011,235.0,237.0,2.0
Alaska,2013,236.0,237.0,1.0
Alaska,2015,235.0,238.0,3.0
Alaska,2017,230.0,230.0,0.0
Alaska,2019,232.0,233.0,1.0
Alaska,2022,228.0,224.0,-4.0
Arizona,2003,227.0,231.0,4.0
Arizona,2005,227.0,233.0,6.0
Arizona,2007,230.0,233.0,3.0
Arizona,2009,230.0,230.0,0.0
Arizona,2011,234.0,237.0,3.0
Arizona,2013,240.0,240.0,0.0
Arizona,2015,236.0,239.0,3.0
Arizona,2017,233.0,236.0,3.0
Arizona,2019,235.0,240.0,5.0
Arizona,2022,229.0,235.0,6.0
Arkansas,2003,230.0,228.0,-2.0
Arkansas,2005,235.0,236.0,1.0
Arkansas,2007,237.0,238.0,1.0
Arkansas,2009,236.0,239.0,3.0
Arkansas,2011,238.0,238.0,0.0
Arkansas,2013,240.0,239.0,-1.0
Arkansas,2015,235.0,235.0,0.0
Arkansas,2017,233.0,235.0,2.0
Arkansas,2019,232.0,235.0,3.0
Arkansas,2022,227.0,230.0,3.0
California,2003,225.0,229.0,4.0
California,2005,229.0,231.0,2.0
California,2007,229.0,231.0,2.0
California,2009,231.0,233.0,2.0
California,2011,234.0,235.0,1.0
California,2013,232.0,235.0,3.0
California,2015,230.0,233.0,3.0
California,2017,231.0,233.0,2.0
California,2019,233.0,236.0,3.0
California,2022,227.0,234.0,7.0
Colorado,2003,233.0,237.0,4.0
Colorado,2005,238.0,241.0,3.0
Colorado,2007,239.0,242.0,3.0
Colorado,2009,242.0,244.0,2.0
Colorado,2011,243.0,246.0,3.0
Colorado,2013,246.0,248.0,2.0
Colorado,2015,240.0,243.0,3.0
Colorado,2017,241.0,240.0,-1.0
Colorado,2019,239.0,245.0,6.0
Colorado,2022,233.0,239.0,6.0
Connecticut,2003,238.0,243.0,5.0
Connecticut,2005,241.0,244.0,3.0
Connecticut,2007,242.0,243.0,1.0
Connecticut,2009,243.0,246.0,3.0
Connecticut,2011,241.0,243.0,2.0
Connecticut,2013,243.0,244.0,1.0
Connecticut,2015,239.0,241.0,2.0
Connecticut,2017,237.0,241.0,4.0
Connecticut,2019,241.0,246.0,5.0
Connecticut,2022,236.0,237.0,1.0
Delaware,2003,235.0,237.0,2.0
Delaware,2005,238.0,241.0,3.0
Delaware,2007,241.0,242.0,1.0
Delaware,2009,238.0,241.0,3.0
Delaware,2011,239.0,241.0,2.0
Delaware,2013,243.0,243.0,0.0
Delaware,2015,238.0,240.0,2.0
Delaware,2017,237.0,236.0,-1.0
Delaware,2019,238.0,241.0,3.0
Delaware,2022,224.0,227.0,3.0
Florida,2003,233.0,235.0,2.0
Florida,2005,238.0,240.0,2.0
Florida,2007,241.0,243.0,2.0
Florida,2009,241.0,243.0,2.0
Florida,2011,240.0,240.0,0.0
Florida,2013,242.0,242.0,0.0
Florida,2015,242.0,243.0,1.0
Florida,2017,245.0,247.0,2.0
Florida,2019,244.0,248.0,4.0
Florida,2022,238.0,244.0,6.0
Georgia,2003,229.0,231.0,2.0
Georgia,2005,233.0,234.0,1.0
Georgia,2007,234.0,236.0,2.0
Georgia,2009,236.0,237.0,1.0
Georgia,2011,239.0,238.0,-1.0
Georgia,2013,239.0,241.0,2.0
Georgia,2015,236.0,237.0,1.0
Georgia,2017,236.0,237.0,1.0
Georgia,2019,237.0,238.0,1.0
Georgia,2022,234.0,236.0,2.0
Hawaii,2003,226.0,227.0,1.0
Hawaii,2005,231.0,229.0,-2.0
Hawaii,2007,236.0,233.0,-3.0
Hawaii,2009,236.0,235.0,-1.0
Hawaii,2011,240.0,238.0,-2.0
Hawaii,2013,244.0,242.0,-2.0
Hawaii,2015,238.0,238.0,0.0
Hawaii,2017,238.0,238.0,0.0
Hawaii,2019,239.0,239.0,0.0
Hawaii,2022,235.0,238.0,3.0
Idaho,2003,233.0,237.0,4.0
Idaho,2005,241.0,242.0,1.0
Idaho,2007,240.0,242.0,2.0
Idaho,2009,240.0,242.0,2.0
Idaho,2011,239.0,241.0,2.0
Idaho,2013,238.0,243.0,5.0
Idaho,2015,238.0,239.0,1.0
Idaho,2017,238.0,242.0,4.0
Idaho,2019,240.0,243.0,3.0
Idaho,2022,231.0,241.0,10.0
Illinois,2003,232.0,234.0,2.0
Illinois,2005,232.0,234.0,2.0
Illinois,2007,235.0,239.0,4.0
Illinois,2009,237.0,240.0,3.0
Illinois,2011,238.0,240.0,2.0
Illinois,2013,239.0,239.0,0.0
Illinois,2015,237.0,238.0,1.0
Illinois,2017,237.0,240.0,3.0
Illinois,2019,236.0,239.0,3.0
Illinois,2022,234.0,240.0,6.0
Indiana,2003,237.0,239.0,2.0
Indiana,2005,240.0,240.0,0.0
Indiana,2007,244.0,246.0,2.0
Indiana,2009,242.0,243.0,1.0
Indiana,2011,242.0,245.0,3.0
Indiana,2013,248.0,249.0,1.0
Indiana,2015,247.0,248.0,1.0
Indiana,2017,245.0,248.0,3.0
Indiana,2019,242.0,247.0,5.0
Indiana,2022,235.0,243.0,8.0
Iowa,2003,236.0,240.0,4.0
Iowa,2005,238.0,242.0,4.0
Iowa,2007,241.0,244.0,3.0
Iowa,2009,242.0,243.0,1.0
Iowa,2011,242.0,244.0,2.0
Iowa,2013,244.0,247.0,3.0
Iowa,2015,243.0,244.0,1.0
Iowa,2017,241.0,245.0,4.0
Iowa,2019,239.0,243.0,4.0
Iowa,2022,237.0,243.0,6.0
Kansas,2003,240.0,244.0,4.0
Kansas,2005,245.0,247.0,2.0
Kansas,2007,247.0,249.0,2.0
Kansas,2009,244.0,246.0,2.0
Kansas,2011,246.0,247.0,1.0
Kansas,2013,245.0,247.0,2.0
Kansas,2015,240.0,242.0,2.0
Kansas,2017,240.0,242.0,2.0
Kansas,2019,237.0,242.0,5.0
Kansas,2022,233.0,237.0,4.0
Kentucky,2003,227.0,230.0,3.0
Kentucky,2005,230.0,233.0,3.0
Kentucky,2007,234.0,237.0,3.0
Kentucky,2009,238.0,240.0,2.0
Kentucky,2011,240.0,242.0,2.0
Kentucky,2013,241.0,242.0,1.0
Kentucky,2015,240.0,243.0,3.0
Kentucky,2017,238.0,241.0,3.0
Kentucky,2019,239.0,239.0,0.0
Kentucky,2022,232.0,236.0,4.0
Louisiana,2003,226.0,227.0,1.0
Louisiana,2005,229.0,231.0,2.0
Louisiana,2007,230.0,230.0,0.0
Louisiana,2009,229.0,230.0,1.0
Louisiana,2011,231.0,231.0,0.0
Louisiana,2013,230.0,233.0,3.0
Louisiana,2015,234.0,235.0,1.0
Louisiana,2017,229.0,229.0,0.0
Louisiana,2019,230.0,232.0,2.0
Louisiana,2022,227.0,230.0,3.0
Maine,2003,236.0,239.0,3.0
Maine,2005,239.0,243.0,4.0
Maine,2007,241.0,244.0,3.0
Maine,2009,242.0,247.0,5.0
Maine,2011,243.0,246.0,3.0
Maine,2013,246.0,246.0,0.0
Maine,2015,241.0,244.0,3.0
Maine,2017,240.0,240.0,0.0
Maine,2019,239.0,243.0,4.0
