Jurisdiction,Gaps
Alabama,"[0.0, 0.0, 1.0, 0.0, -1.0, 1.0, 0.0, 0.0, -1.0, 5.0]"
Alaska,"[4.0, 1.0, 1.0, 2.0, 2.0, 1.0, 3.0, 0.0, 1.0, -4.0]"
Arizona,"[4.0, 6.0, 3.0, 0.0, 3.0, 0.0, 3.0, 3.0, 5.0, 6.0]"
Arkansas,"[-2.0, 1.0, 1.0, 3.0, 0.0, -1.0, 0.0, 2.0, 3.0, 3.0]"
California,"[4.0, 2.0, 2.0, 2.0, 1.0, 3.0, 3.0, 2.0, 3.0, 7.0]"
Colorado,"[4.0, 3.0, 3.0, 2.0, 3.0, 2.0, 3.0, -1.0, 6.0, 6.0]"
Connecticut,"[5.0, 3.0, 1.0, 3.0, 2.0, 1.0, 2.0, 4.0, 5.0, 1.0]"
Delaware,"[2.0, 3.0, 1.0, 3.0, 2.0, 0.0, 2.0, -1.0, 3.0, 3.0]"
Florida,"[2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 1.0, 2.0, 4.0, 6.0]"
Georgia,"[2.0, 1.0, 2.0, 1.0, -1.0, 2.0, 1.0, 1.0, 1.0, 2.0]"
Hawaii,"[1.0, -2.0, -3.0, -1.0, -2.0, -2.0, 0.0, 0.0, 0.0, 3.0]"
Idaho,"[4.0, 1.0, 2.0, 2.0, 2.0, 5.0, 1.0, 4.0, 3.0, 10.0]"
Illinois,"[2.0, 2.0, 4.0, 3.0, 2.0, 0.0, 1.0, 3.0, 3.0, 6.0]"
Indiana,"[2.0, 0.0, 2.0, 1.0, 3.0, 1.0, 1.0, 3.0, 5.0, 8.0]"
Iowa,"[4.0, 4.0, 3.0, 1.0, 2.0, 3.0, 1.0, 4.0, 4.0, 6.0]"
Kansas,"[4.0, 2.0, 2.0, 2.0, 1.0, 2.0, 2.0, 2.0, 5.0, 4.0]"
Kentucky,"[3.0, 3.0, 3.0, 2.0, 2.0, 1.0, 3.0, 3.0, 0.0, 4.0]"
Louisiana,"[1.0, 2.0, 0.0, 1.0, 0.0, 3.0, 1.0, 0.0, 2.0, 3.0]"
Maine,"[3.0, 4.0, 3.0, 5.0, 3.0, 0.0, 3.0, 0.0, 4.0, 5.0]"
Maryland,"[3.0, 3.0, 3.0, 1.0, 2.0, 2.0, 1.0, 3.0, 3.0, 5.0]"
Massachusetts,"[5.0, 1.0, 3.0, 2.0, 3.0, 0.0, 5.0, 5.0, 3.0, 8.0]"
Michigan,"[5.0, 4.0, 1.0, 3.0, 3.0, 1.0, 2.0, 3.0, 4.0, 6.0]"
Minnesota,"[4.0, 2.0, 4.0, 3.0, 2.0, 1.0, 1.0, 3.0, 5.0, 8.0]"
Mississippi,"[0.0, 1.0, 1.0, -1.0, -2.0, -1.0, 0.0, 1.0, 2.0, 3.0]"
Missouri,"[0.0, 4.0, 2.0, 1.0, -1.0, 1.0, 4.0, 3.0, 2.0, 6.0]"
Montana,"[1.0, 4.0, 3.0, 5.0, 3.0, 3.0, 4.0, 1.0, 4.0, 5.0]"
National,"[3.0, 2.0, 2.0, 2.0, 1.0, 1.0, 2.0, 2.0, 3.0, 6.0]"
Nebraska,"[3.0, 3.0, 4.0, 0.0, 2.0, 4.0, 0.0, 3.0, 5.0, 3.0]"
Nevada,"[3.0, 2.0, 3.0, 2.0, 2.0, 2.0, 1.0, 1.0, 1.0, 8.0]"
New Hampshire,"[6.0, 3.0, 3.0, 2.0, 1.0, 4.0, 2.0, 3.0, 5.0, 3.0]"
New Jersey,"[3.0, 4.0, 3.0, 3.0, 2.0, 2.0, 3.0, 1.0, 2.0, 6.0]"
New Mexico,"[3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 1.0, 2.0, 4.0]"
New York,"[2.0, 3.0, 2.0, 3.0, 1.0, 1.0, 2.0, 5.0, 3.0, 6.0]"
North Carolina,"[2.0, 1.0, 2.0, 0.0, 1.0, 0.0, 3.0, 2.0, 1.0, 2.0]"
North Dakota,"[5.0, 3.0, 5.0, 3.0, 2.0, 1.0, 3.0, 3.0, 2.0, 4.0]"
Ohio,"[2.0, 2.0, 3.0, 3.0, 2.0, 1.0, 1.0, 1.0, 6.0, 5.0]"
Oklahoma,"[2.0, 2.0, 2.0, 2.0, -1.0, 2.0, 4.0, 3.0, 3.0, 3.0]"
Oregon,"[2.0, 1.0, 4.0, 4.0, 0.0, 2.0, 2.0, 4.0, 5.0, 5.0]"
Pennsylvania,"[4.0, 1.0, 2.0, 3.0, 2.0, 0.0, 2.0, 3.0, 2.0, 5.0]"
Rhode Island,"[2.0, 1.0, 1.0, 3.0, 0.0, 1.0, 0.0, 1.0, 3.0, 4.0]"
South Carolina,"[3.0, 0.0, -2.0, 1.0, -1.0, -2.0, 1.0, 2.0, 4.0, 3.0]"
South Dakota,"[4.0, 3.0, 2.0, 2.0, 2.0, 0.0, 1.0, 5.0, 5.0, 4.0]"
