"Jurisdiction","G4_Cluster"
"Alabama",1
"Arkansas",1
"Hawaii",1
"Mississippi",1
"South Carolina",1
"Alaska",2
"California",2
"Colorado",2
"Connecticut",2
"Florida",2
"Georgia",2
"Idaho",2
"Illinois",2
"Indiana",2
"Iowa",2
"Kansas",2
"Kentucky",2
"Louisiana",2
"Maryland",2
"Massachusetts",2
"Michigan",2
"Minnesota",2
"National",2
"Nevada",2
"New Hampshire",2
"New Jersey",2
"New Mexico",2
"New York",2
"North Carolina",2
"North Dakota",2
"Ohio",2
"Oregon",2
"Pennsylvania",2
"Rhode Island",2
"South Dakota",2
"Tennessee",2
"Utah",2
"Vermont",2
"Virginia",2
"Washington",2
"West Virginia",2
"Wisconsin",2
"Wyoming",2
"Delaware",3
"Missouri",3
"Oklahoma",3
"Arizona",4
"Maine",4
"Montana",4
"Nebraska",4
"Texas",4
