Year,Jurisdiction,Gender,Average scale score
2022,National,Male,239
2022,National,Female,233
2022,Alabama,Male,233
2022,Alabama,Female,228
2022,Alaska,Male,224
2022,Alaska,Female,228
2022,Arizona,Male,235
2022,Arizona,Female,229
2022,Arkansas,Male,230
2022,Arkansas,Female,227
2022,California,Male,234
2022,California,Female,227
2022,Colorado,Male,239
2022,Colorado,Female,233
2022,Connecticut,Male,237
2022,Connecticut,Female,236
2022,Delaware,Male,227
2022,Delaware,Female,224
2022,District of Columbia,Male,224
2022,District of Columbia,Female,222
2022,DoDEA,Male,253
2022,DoDEA,Female,246
2022,Florida,Male,244
2022,Florida,Female,238
2022,Georgia,Male,236
2022,Georgia,Female,234
2022,Hawaii,Male,238
2022,Hawaii,Female,235
2022,Idaho,Male,241
2022,Idaho,Female,231
2022,Illinois,Male,240
2022,Illinois,Female,234
2022,Indiana,Male,243
2022,Indiana,Female,235
2022,Iowa,Male,243
2022,Iowa,Female,237
2022,Kansas,Male,237
2022,Kansas,Female,233
2022,Kentucky,Male,236
2022,Kentucky,Female,232
2022,Louisiana,Male,230
2022,Louisiana,Female,227
2022,Maine,Male,236
2022,Maine,Female,231
2022,Maryland,Male,231
2022,Maryland,Female,226
2022,Massachusetts,Male,246
2022,Massachusetts,Female,238
2022,Michigan,Male,235
2022,Michigan,Female,229
2022,Minnesota,Male,243
2022,Minnesota,Female,235
2022,Mississippi,Male,235
2022,Mississippi,Female,232
2022,Missouri,Male,235
2022,Missouri,Female,229
2022,Montana,Male,241
2022,Montana,Female,236
2022,Nebraska,Male,243
2022,Nebraska,Female,240
2022,Nevada,Male,233
2022,Nevada,Female,225
2022,New Hampshire,Male,241
2022,New Hampshire,Female,238
2022,New Jersey,Male,242
2022,New Jersey,Female,236
2022,New Mexico,Male,223
2022,New Mexico,Female,219
2022,New York,Male,230
2022,New York,Female,224
2022,North Carolina,Male,237
2022,North Carolina,Female,235
2022,North Dakota,Male,242
2022,North Dakota,Female,238
2022,Ohio,Male,240
2022,Ohio,Female,235
2022,Oklahoma,Male,231
2022,Oklahoma,Female,228
2022,Oregon,Male,231
2022,Oregon,Female,226
2022,Pennsylvania,Male,240
2022,Pennsylvania,Female,235
2022,Puerto Rico,Male,179
2022,Puerto Rico,Female,177
2022,Rhode Island,Male,236
2022,Rhode Island,Female,232
2022,South Carolina,Male,236
2022,South Carolina,Female,233
2022,South Dakota,Male,241
2022,South Dakota,Female,237
2022,Tennessee,Male,239
2022,Tennessee,Female,234
2022,Texas,Male,242
2022,Texas,Female,235
2022,Utah,Male,244
2022,Utah,Female,235
2022,Vermont,Male,237
2022,Vermont,Female,231
2022,Virginia,Male,239
2022,Virginia,Female,233
2022,Washington,Male,237
2022,Washington,Female,233
2022,West Virginia,Male,227
2022,West Virginia,Female,225
2022,Wisconsin,Male,242
2022,Wisconsin,Female,238
2022,Wyoming,Male,246
2022,Wyoming,Female,241
2019,National,Male,242
2019,National,Female,239
2019,Alabama,Male,229
2019,Alabama,Female,230
2019,Alaska,Male,233
2019,Alaska,Female,232
2019,Arizona,Male,240
2019,Arizona,Female,235
2019,Arkansas,Male,235
2019,Arkansas,Female,232
2019,California,Male,236
2019,California,Female,233
2019,Colorado,Male,245
2019,Colorado,Female,239
2019,Connecticut,Male,246
2019,Connecticut,Female,241
2019,Delaware,Male,241
2019,Delaware,Female,238
2019,District of Columbia,Male,235
2019,District of Columbia,Female,234
2019,DoDEA,Male,252
2019,DoDEA,Female,249
2019,Florida,Male,248
2019,Florida,Female,244
2019,Georgia,Male,238
2019,Georgia,Female,237
2019,Hawaii,Male,239
2019,Hawaii,Female,239
2019,Idaho,Male,243
2019,Idaho,Female,240
2019,Illinois,Male,239
2019,Illinois,Female,236
2019,Indiana,Male,247
2019,Indiana,Female,242
2019,Iowa,Male,243
2019,Iowa,Female,239
2019,Kansas,Male,242
2019,Kansas,Female,237
2019,Kentucky,Male,239
2019,Kentucky,Female,239
2019,Louisiana,Male,232
2019,Louisiana,Female,230
2019,Maine,Male,243
2019,Maine,Female,239
2019,Maryland,Male,240
2019,Maryland,Female,237
2019,Massachusetts,Male,249
2019,Massachusetts,Female,246
2019,Michigan,Male,238
2019,Michigan,Female,234
2019,Minnesota,Male,251
2019,Minnesota,Female,246
2019,Mississippi,Male,242
2019,Mississippi,Female,240
2019,Missouri,Male,239
2019,Missouri,Female,237
2019,Montana,Male,243
2019,Montana,Female,239
2019,Nebraska,Male,246
2019,Nebraska,Female,241
2019,Nevada,Male,236
2019,Nevada,Female,235
2019,New Hampshire,Male,247
2019,New Hampshire,Female,242
2019,New Jersey,Male,247
2019,New Jersey,Female,245
2019,New Mexico,Male,232
2019,New Mexico,Female,230
2019,New York,Male,238
2019,New York,Female,235
2019,North Carolina,Male,242
2019,North Carolina,Female,241
2019,North Dakota,Male,244
2019,North Dakota,Female,242
2019,Ohio,Male,244
2019,Ohio,Female,238
2019,Oklahoma,Male,239
2019,Oklahoma,Female,236
2019,Oregon,Male,239
2019,Oregon,Female,234
2019,Pennsylvania,Male,245
2019,Pennsylvania,Female,243
2019,Puerto Rico,Male,185
2019,Puerto Rico,Female,185
2019,Rhode Island,Male,241
2019,Rhode Island,Female,238
2019,South Carolina,Male,239
2019,South Carolina,Female,235
2019,South Dakota,Male,244
2019,South Dakota,Female,239
2019,Tennessee,Male,241
2019,Tennessee,Female,238
2019,Texas,Male,245
2019,Texas,Female,242
2019,Utah,Male,245
2019,Utah,Female,242
2019,Vermont,Male,240
2019,Vermont,Female,237
2019,Virginia,Male,248
2019,Virginia,Female,245
2019,Washington,Male,242
2019,Washington,Female,237
2019,West Virginia,Male,231
2019,West Virginia,Female,232
2019,Wisconsin,Male,243
2019,Wisconsin,Female,240
2019,Wyoming,Male,248
2019,Wyoming,Female,244
2017,National,Male,241
2017,National,Female,239
2017,Alabama,Male,232
2017,Alabama,Female,232
2017,Alaska,Male,230
2017,Alaska,Female,230
2017,Arizona,Male,236
2017,Arizona,Female,233
2017,Arkansas,Male,235
2017,Arkansas,Female,233
2017,California,Male,233
2017,California,Female,231
2017,Colorado,Male,240
2017,Colorado,Female,241
2017,Connecticut,Male,241
2017,Connecticut,Female,237
2017,Delaware,Male,236
2017,Delaware,Female,237
2017,District of Columbia,Male,231
2017,District of Columbia,Female,231
2017,DoDEA,Male,251
2017,DoDEA,Female,246
2017,Florida,Male,247
2017,Florida,Female,245
2017,Georgia,Male,237
2017,Georgia,Female,236
2017,Hawaii,Male,238
2017,Hawaii,Female,238
2017,Idaho,Male,242
2017,Idaho,Female,238
2017,Illinois,Male,240
2017,Illinois,Female,237
2017,Indiana,Male,248
2017,Indiana,Female,245
2017,Iowa,Male,245
2017,Iowa,Female,241
2017,Kansas,Male,242
2017,Kansas,Female,240
