Jurisdiction,Average scale score
Alabama,"[230.0, 230.0, 232.0, 231.0, 233.0, 231.0, 228.0, 229.0, 225.0, 223.0]"
Alaska,"[226.0, 232.0, 230.0, 236.0, 236.0, 236.0, 237.0, 237.0, 236.0, 233.0]"
Arizona,"[232.0, 238.0, 234.0, 238.0, 240.0, 235.0, 230.0, 232.0, 230.0, 229.0]"
Arkansas,"[228.0, 233.0, 234.0, 235.0, 240.0, 238.0, 238.0, 238.0, 236.0, 229.0]"
California,"[230.0, 235.0, 232.0, 232.0, 234.0, 234.0, 232.0, 230.0, 230.0, 227.0]"
Colorado,"[236.0, 242.0, 241.0, 242.0, 247.0, 244.0, 243.0, 240.0, 239.0, 235.0]"
Connecticut,"[236.0, 243.0, 239.0, 240.0, 243.0, 242.0, 245.0, 243.0, 242.0, 241.0]"
Delaware,"[226.0, 239.0, 236.0, 239.0, 243.0, 240.0, 239.0, 242.0, 240.0, 236.0]"
Florida,"[241.0, 246.0, 246.0, 243.0, 242.0, 240.0, 242.0, 242.0, 239.0, 234.0]"
Georgia,"[235.0, 238.0, 236.0, 236.0, 240.0, 238.0, 236.0, 235.0, 234.0, 230.0]"
Hawaii,"[237.0, 239.0, 238.0, 238.0, 243.0, 239.0, 236.0, 234.0, 230.0, 227.0]"
Idaho,"[236.0, 242.0, 240.0, 239.0, 241.0, 240.0, 241.0, 241.0, 242.0, 235.0]"
Illinois,"[237.0, 237.0, 238.0, 237.0, 239.0, 239.0, 238.0, 237.0, 233.0, 233.0]"
Indiana,"[239.0, 245.0, 247.0, 248.0, 249.0, 244.0, 243.0, 245.0, 240.0, 238.0]"
Iowa,"[240.0, 241.0, 243.0, 243.0, 246.0, 243.0, 243.0, 243.0, 240.0, 238.0]"
Kansas,"[235.0, 239.0, 241.0, 241.0, 246.0, 246.0, 245.0, 248.0, 246.0, 242.0]"
Kentucky,"[234.0, 239.0, 239.0, 242.0, 241.0, 241.0, 239.0, 235.0, 231.0, 229.0]"
Louisiana,"[229.0, 231.0, 229.0, 234.0, 231.0, 231.0, 229.0, 230.0, 230.0, 226.0]"
Maine,"[233.0, 241.0, 240.0, 242.0, 246.0, 244.0, 244.0, 242.0, 241.0, 238.0]"
Maryland,"[229.0, 239.0, 241.0, 239.0, 245.0, 247.0, 244.0, 240.0, 238.0, 233.0]"
Massachusetts,"[242.0, 247.0, 249.0, 251.0, 253.0, 253.0, 252.0, 252.0, 247.0, 242.0]"
