,Jurisdiction,2003,2005,2007,2009,2011,2013,2015,2017,2019,2022
0,Alabama,230,230,232,231,233,231,228,229,225,223
1,Alaska,226,232,230,236,236,236,237,237,236,233
2,Arizona,232,238,234,238,240,235,230,232,230,229
3,Arkansas,228,233,234,235,240,238,238,238,236,229
4,California,230,235,232,232,234,234,232,230,230,227
5,Colorado,236,242,241,242,247,244,243,240,239,235
6,Connecticut,236,243,239,240,243,242,245,243,242,241
7,Delaware,226,239,236,239,243,240,239,242,240,236
8,Florida,241,246,246,243,242,240,242,242,239,234
9,Georgia,235,238,236,236,240,238,236,235,234,230
10,Hawaii,237,239,238,238,243,239,236,234,230,227
11,Idaho,236,242,240,239,241,240,241,241,242,235
12,Illinois,237,237,238,237,239,239,238,237,233,233
13,Indiana,239,245,247,248,249,244,243,245,240,238
14,Iowa,240,241,243,243,246,243,243,243,240,238
15,Kansas,235,239,241,241,246,246,245,248,246,242
16,Kentucky,234,239,239,242,241,241,239,235,231,229
17,Louisiana,229,231,229,234,231,231,229,230,230,226
18,Maine,233,241,240,242,246,244,244,242,241,238
19,Maryland,229,239,241,239,245,247,244,240,238,233
20,Massachusetts,242,247,249,251,253,253,252,252,247,242
21,Michigan,232,236,236,236,237,236,236,238,238,236
22,Minnesota,239,248,249,250,253,249,249,247,246,242
23,Mississippi,234,241,235,234,231,230,227,228,227,223
24,Missouri,232,238,240,239,240,240,241,239,235,235
25,Montana,239,241,241,241,244,244,244,244,241,236
26,National,236,241,240,240,242,241,240,240,238,235
27,Nebraska,242,244,246,244,243,240,239,238,238,236
28,Nevada,229,236,232,234,236,237,235,232,230,228
29,New Hampshire,239,245,245,249,253,252,251,249,246,243
30,New Jersey,239,246,248,245,247,248,247,249,244,239
31,New Mexico,221,231,230,231,233,233,230,228,224,223
32,New York,227,237,236,237,240,238,241,243,238,236
33,North Carolina,236,241,241,244,245,245,244,242,241,242
34,North Dakota,240,243,244,245,246,245,245,245,243,238
35,Ohio,238,241,241,244,246,244,244,245,242,238
36,Oklahoma,229,237,237,240,239,237,237,237,234,229
37,Oregon,228,236,233,238,240,237,238,236,238,236
38,Pennsylvania,238,244,242,243,244,246,244,244,241,236
39,Rhode Island,234,239,238,238,241,242,239,236,233,230
40,South Carolina,234,237,234,237,237,237,236,237,238,236
41,South Dakota,239,241,242,240,241,241,242,241,242,237
42,Tennessee,236,240,237,241,240,233,232,233,232,228
43,Texas,239,244,241,244,242,241,240,242,242,237
44,Utah,240,244,242,243,243,243,240,239,239,235
45,Vermont,234,239,241,243,248,247,248,246,244,242
46,Virginia,236,247,248,247,246,245,243,244,240,239
47,Washington,235,240,242,245,246,243,242,243,242,238
48,West Virginia,226,231,236,235,237,235,233,236,231,231
49,Wisconsin,240,242,240,243,245,245,244,244,241,237
50,Wyoming,243,246,248,247,247,244,242,244,243,241
