,Jurisdiction,2003,2005,2007,2009,2011,2013,2015,2017,2019,2022
0,Alabama,2,-3,2,-1,0,0,-1,3,-3,1
1,Alaska,2,2,-1,0,-1,1,-1,0,5,3
2,Arizona,0,0,3,3,6,1,0,5,-2,2
3,Arkansas,-2,-3,0,-2,2,-1,0,1,-3,2
4,California,2,1,0,4,0,2,-1,0,-2,1
5,Colorado,1,0,1,3,-1,-1,3,0,1,2
6,Connecticut,2,0,-1,-1,2,0,1,-1,-1,3
7,Delaware,2,4,4,1,-2,3,0,0,-1,2
8,Florida,4,4,1,3,1,2,-1,4,1,2
9,Georgia,1,1,1,-1,1,0,0,2,-1,3
10,Hawaii,-1,-1,-3,-5,-2,-4,-5,-4,-1,0
11,Idaho,2,-2,3,2,1,1,0,2,4,2
12,Illinois,2,3,3,4,0,0,0,5,1,5
13,Indiana,2,3,2,3,0,1,1,-1,1,1
14,Iowa,2,-1,3,1,2,2,2,-1,0,2
15,Kansas,0,2,2,3,2,1,0,5,2,2
16,Kentucky,1,2,3,3,1,1,-2,-4,-4,0
17,Louisiana,1,-1,1,-1,-2,0,-2,1,-3,1
18,Maine,2,2,3,4,-1,3,1,0,1,3
19,Maryland,3,0,3,3,2,-1,-3,2,0,-1
20,Massachusetts,5,-1,4,2,1,1,-4,-2,-3,1
21,Michigan,1,4,3,3,3,-1,3,1,-1,4
22,Minnesota,-3,2,0,3,0,1,0,0,-3,2
23,Mississippi,2,1,2,0,-5,0,-4,0,-2,1
24,Missouri,2,3,3,2,2,0,3,1,0,4
25,Montana,0,-1,0,1,0,0,3,-1,-2,1
26,National,1,2,2,2,1,1,0,1,0,2
27,Nebraska,3,2,3,3,2,0,1,2,-2,3
28,Nevada,0,1,1,2,2,2,0,1,-1,3
29,New Hampshire,1,1,1,1,0,-1,2,2,2,5
30,New Jersey,1,4,2,5,0,-2,1,2,0,2
31,New Mexico,1,2,1,2,1,0,2,2,1,2
32,New York,2,0,1,1,-1,-3,0,-1,1,2
33,North Carolina,-1,-1,2,0,-2,-1,-1,-1,-5,-1
34,North Dakota,0,0,3,3,2,1,0,0,-1,3
35,Ohio,2,2,3,3,2,1,-2,0,-2,0
36,Oklahoma,0,1,4,4,2,-1,1,-1,1,2
37,Oregon,2,3,2,4,5,3,-2,2,-1,4
38,Pennsylvania,3,4,6,3,2,1,-2,-3,-2,4
39,Rhode Island,2,-1,1,0,0,0,-3,1,-1,2
40,South Carolina,6,1,-1,1,-2,2,-2,-1,-1,0
41,South Dakota,2,0,3,3,1,1,-2,-1,-3,1
42,Tennessee,0,-1,6,0,4,0,0,-1,-2,-2
43,Texas,2,4,2,1,1,1,-1,1,-1,5
44,Utah,2,2,2,2,4,1,2,2,2,7
45,Vermont,0,0,2,2,0,-1,3,-1,-1,-1
46,Virginia,3,2,3,2,0,-1,2,0,-1,2
47,Washington,1,0,0,2,0,1,2,3,0,7
48,West Virginia,0,-2,2,1,2,0,1,0,-1,1
49,Wisconsin,0,1,3,2,3,0,0,2,-1,4
50,Wyoming,1,2,2,4,5,3,-2,0,-3,1
