"Jurisdiction","G4_Cluster","G8_Cluster"
"Alabama",1,3
"Alaska",2,3
"Arizona",4,2
"Arkansas",1,4
"California",2,3
"Colorado",2,4
"Connecticut",2,2
"Delaware",3,4
"Florida",2,3
"Georgia",2,4
"Hawaii",1,1
"Idaho",2,4
"Illinois",2,3
"Indiana",2,3
"Iowa",2,4
"Kansas",2,4
"Kentucky",2,3
"Louisiana",2,3
"Maine",4,3
"Maryland",2,2
"Massachusetts",2,3
"Michigan",2,2
"Minnesota",2,4
"Mississippi",1,4
"Missouri",3,2
"Montana",4,2
"National",2,4
"Nebraska",4,3
"Nevada",2,2
"New Hampshire",2,4
"New Jersey",2,4
"New Mexico",2,4
"New York",2,3
"North Carolina",2,1
"North Dakota",2,2
"Ohio",2,3
"Oklahoma",3,3
"Oregon",2,3
"Pennsylvania",2,2
"Rhode Island",2,4
"South Carolina",1,1
"South Dakota",2,3
"Tennessee",2,1
"Texas",4,3
"Utah",2,4
"Vermont",2,2
"Virginia",2,4
"Washington",2,4
"West Virginia",2,4
"Wisconsin",2,2
"Wyoming",2,3
