,Year,Jurisdiction,Gender,Average scale score
0,2022,National,Male,214.0
1,2022,National,Female,221.0
2,2022,Alabama,Male,208.0
3,2022,Alabama,Female,218.0
4,2022,Alaska,Male,197.0
5,2022,Alaska,Female,210.0
6,2022,Arizona,Male,213.0
7,2022,Arizona,Female,218.0
8,2022,Arkansas,Male,208.0
9,2022,Arkansas,Female,217.0
10,2022,California,Male,211.0
11,2022,California,Female,218.0
12,2022,Colorado,Male,221.0
13,2022,Colorado,Female,225.0
14,2022,Connecticut,Male,219.0
15,2022,Connecticut,Female,219.0
16,2022,Delaware,Male,204.0
17,2022,Delaware,Female,212.0
18,2022,Florida,Male,221.0
19,2022,Florida,Female,228.0
20,2022,Georgia,Male,211.0
21,2022,Georgia,Female,221.0
22,2022,Hawaii,Male,213.0
23,2022,Hawaii,Female,225.0
24,2022,Idaho,Male,211.0
25,2022,Idaho,Female,219.0
26,2022,Illinois,Male,217.0
27,2022,Illinois,Female,219.0
28,2022,Indiana,Male,216.0
29,2022,Indiana,Female,219.0
30,2022,Iowa,Male,216.0
31,2022,Iowa,Female,220.0
32,2022,Kansas,Male,211.0
33,2022,Kansas,Female,218.0
34,2022,Kentucky,Male,215.0
35,2022,Kentucky,Female,218.0
36,2022,Louisiana,Male,208.0
37,2022,Louisiana,Female,217.0
38,2022,Maine,Male,210.0
39,2022,Maine,Female,216.0
40,2022,Maryland,Male,210.0
41,2022,Maryland,Female,215.0
42,2022,Massachusetts,Male,224.0
43,2022,Massachusetts,Female,230.0
44,2022,Michigan,Male,209.0
45,2022,Michigan,Female,215.0
46,2022,Minnesota,Male,212.0
47,2022,Minnesota,Female,219.0
48,2022,Mississippi,Male,212.0
49,2022,Mississippi,Female,223.0
50,2022,Missouri,Male,211.0
51,2022,Missouri,Female,216.0
52,2022,Montana,Male,214.0
53,2022,Montana,Female,223.0
54,2022,Nebraska,Male,216.0
55,2022,Nebraska,Female,222.0
56,2022,Nevada,Male,210.0
57,2022,Nevada,Female,213.0
58,2022,New Hampshire,Male,219.0
59,2022,New Hampshire,Female,226.0
60,2022,New Jersey,Male,217.0
61,2022,New Jersey,Female,229.0
62,2022,New Mexico,Male,198.0
63,2022,New Mexico,Female,207.0
64,2022,New York,Male,213.0
65,2022,New York,Female,214.0
66,2022,North Carolina,Male,213.0
67,2022,North Carolina,Female,219.0
68,2022,North Dakota,Male,214.0
69,2022,North Dakota,Female,221.0
70,2022,Ohio,Male,216.0
71,2022,Ohio,Female,222.0
72,2022,Oklahoma,Male,203.0
73,2022,Oklahoma,Female,214.0
74,2022,Oregon,Male,207.0
75,2022,Oregon,Female,214.0
76,2022,Pennsylvania,Male,217.0
77,2022,Pennsylvania,Female,221.0
78,2022,Rhode Island,Male,212.0
79,2022,Rhode Island,Female,223.0
80,2022,South Carolina,Male,213.0
81,2022,South Carolina,Female,220.0
82,2022,South Dakota,Male,213.0
83,2022,South Dakota,Female,224.0
84,2022,Tennessee,Male,211.0
85,2022,Tennessee,Female,217.0
86,2022,Texas,Male,212.0
87,2022,Texas,Female,216.0
88,2022,Utah,Male,219.0
89,2022,Utah,Female,223.0
90,2022,Vermont,Male,215.0
91,2022,Vermont,Female,219.0
92,2022,Virginia,Male,208.0
93,2022,Virginia,Female,221.0
94,2022,Washington,Male,214.0
95,2022,Washington,Female,219.0
96,2022,West Virginia,Male,204.0
97,2022,West Virginia,Female,207.0
98,2022,Wisconsin,Male,213.0
99,2022,Wisconsin,Female,222.0
100,2022,Wyoming,Male,223.0
101,2022,Wyoming,Female,226.0
102,2019,National,Male,217.0
103,2019,National,Female,224.0
104,2019,Alabama,Male,207.0
105,2019,Alabama,Female,217.0
106,2019,Alaska,Male,201.0
107,2019,Alaska,Female,208.0
108,2019,Arizona,Male,213.0
109,2019,Arizona,Female,218.0
110,2019,Arkansas,Male,213.0
111,2019,Arkansas,Female,218.0
112,2019,California,Male,212.0
113,2019,California,Female,221.0
114,2019,Colorado,Male,221.0
115,2019,Colorado,Female,229.0
116,2019,Connecticut,Male,221.0
117,2019,Connecticut,Female,228.0
118,2019,Delaware,Male,214.0
119,2019,Delaware,Female,221.0
120,2019,Florida,Male,220.0
121,2019,Florida,Female,229.0
122,2019,Georgia,Male,214.0
123,2019,Georgia,Female,222.0
124,2019,Hawaii,Male,213.0
125,2019,Hawaii,Female,222.0
126,2019,Idaho,Male,217.0
127,2019,Idaho,Female,228.0
128,2019,Illinois,Male,215.0
129,2019,Illinois,Female,221.0
130,2019,Indiana,Male,218.0
131,2019,Indiana,Female,226.0
132,2019,Iowa,Male,218.0
133,2019,Iowa,Female,223.0
134,2019,Kansas,Male,215.0
135,2019,Kansas,Female,223.0
136,2019,Kentucky,Male,218.0
137,2019,Kentucky,Female,224.0
138,2019,Louisiana,Male,205.0
139,2019,Louisiana,Female,215.0
140,2019,Maine,Male,218.0
141,2019,Maine,Female,225.0
142,2019,Maryland,Male,217.0
143,2019,Maryland,Female,222.0
144,2019,Massachusetts,Male,226.0
145,2019,Massachusetts,Female,236.0
146,2019,Michigan,Male,214.0
147,2019,Michigan,Female,222.0
148,2019,Minnesota,Male,220.0
149,2019,Minnesota,Female,225.0
150,2019,Mississippi,Male,216.0
151,2019,Mississippi,Female,223.0
152,2019,Missouri,Male,214.0
153,2019,Missouri,Female,222.0
154,2019,Montana,Male,218.0
155,2019,Montana,Female,226.0
156,2019,Nebraska,Male,218.0
157,2019,Nebraska,Female,227.0
158,2019,Nevada,Male,214.0
159,2019,Nevada,Female,221.0
160,2019,New Hampshire,Male,220.0
161,2019,New Hampshire,Female,229.0
162,2019,New Jersey,Male,224.0
163,2019,New Jersey,Female,231.0
164,2019,New Mexico,Male,204.0
165,2019,New Mexico,Female,212.0
166,2019,New York,Male,217.0
167,2019,New York,Female,222.0
168,2019,North Carolina,Male,216.0
169,2019,North Carolina,Female,227.0
170,2019,North Dakota,Male,217.0
171,2019,North Dakota,Female,225.0
172,2019,Ohio,Male,220.0
173,2019,Ohio,Female,224.0
174,2019,Oklahoma,Male,214.0
175,2019,Oklahoma,Female,218.0
176,2019,Oregon,Male,215.0
177,2019,Oregon,Female,220.0
178,2019,Pennsylvania,Male,219.0
179,2019,Pennsylvania,Female,228.0
180,2019,Rhode Island,Male,218.0
181,2019,Rhode Island,Female,223.0
182,2019,South Carolina,Male,212.0
183,2019,South Carolina,Female,220.0
184,2019,South Dakota,Male,220.0
185,2019,South Dakota,Female,224.0
186,2019,Tennessee,Male,217.0
187,2019,Tennessee,Female,221.0
188,2019,Texas,Male,212.0
189,2019,Texas,Female,220.0
190,2019,Utah,Male,221.0
191,2019,Utah,Female,229.0
192,2019,Vermont,Male,218.0
193,2019,Vermont,Female,226.0
194,2019,Virginia,Male,221.0
195,2019,Virginia,Female,227.0
196,2019,Washington,Male,217.0
197,2019,Washington,Female,222.0
198,2019,West Virginia,Male,208.0
199,2019,West Virginia,Female,218.0
200,2019,Wisconsin,Male,216.0
201,2019,Wisconsin,Female,224.0
202,2019,Wyoming,Male,226.0
203,2019,Wyoming,Female,228.0
204,2017,National,Male,219.0
205,2017,National,Female,225.0
206,2017,Alabama,Male,213.0
207,2017,Alabama,Female,220.0
208,2017,Alaska,Male,203.0
209,2017,Alaska,Female,211.0
210,2017,Arizona,Male,213.0
211,2017,Arizona,Female,218.0
212,2017,Arkansas,Male,212.0
213,2017,Arkansas,Female,221.0
214,2017,California,Male,211.0
215,2017,California,Female,220.0
216,2017,Colorado,Male,222.0
217,2017,Colorado,Female,228.0
218,2017,Connecticut,Male,226.0
219,2017,Connecticut,Female,231.0
220,2017,Delaware,Male,217.0
221,2017,Delaware,Female,226.0
222,2017,Florida,Male,226.0
223,2017,Florida,Female,231.0
224,2017,Georgia,Male,216.0
225,2017,Georgia,Female,223.0
226,2017,Hawaii,Male,212.0
227,2017,Hawaii,Female,221.0
228,2017,Idaho,Male,220.0
229,2017,Idaho,Female,225.0
230,2017,Illinois,Male,217.0
231,2017,Illinois,Female,224.0
232,2017,Indiana,Male,224.0
233,2017,Indiana,Female,229.0
234,2017,Iowa,Male,219.0
235,2017,Iowa,Female,225.0
236,2017,Kansas,Male,221.0
237,2017,Kansas,Female,226.0
238,2017,Kentucky,Male,222.0
239,2017,Kentucky,Female,226.0
240,2017,Louisiana,Male,210.0
241,2017,Louisiana,Female,213.0
242,2017,Maine,Male,219.0
243,2017,Maine,Female,224.0
244,2017,Maryland,Male,221.0
