"Jurisdiction","G4_Cluster"
"Hawaii",1
"North Carolina",1
"South Carolina",1
"Tennessee",1
"Arizona",2
"Connecticut",2
"Maryland",2
"Michigan",2
"Missouri",2
"Montana",2
"Nevada",2
"North Dakota",2
"Pennsylvania",2
"Vermont",2
"Wisconsin",2
"Alabama",3
"Alaska",3
"California",3
"Florida",3
"Illinois",3
"Indiana",3
"Kentucky",3
"Louisiana",3
"Maine",3
"Massachusetts",3
"Nebraska",3
"New York",3
"Ohio",3
"Oklahoma",3
"Oregon",3
"South Dakota",3
"Texas",3
"Wyoming",3
"Arkansas",4
"Colorado",4
"Delaware",4
"Georgia",4
"Idaho",4
"Iowa",4
"Kansas",4
"Minnesota",4
"Mississippi",4
"National",4
"New Hampshire",4
"New Jersey",4
"New Mexico",4
"Rhode Island",4
"Utah",4
"Virginia",4
"Washington",4
"West Virginia",4
