Jurisdiction,Alabama,Alabama,Alaska,Alaska,Arizona,Arizona,Arkansas,Arkansas,California,California,Colorado,Colorado,Connecticut,Connecticut,Delaware,Delaware,Florida,Florida,Georgia,Georgia,Hawaii,Hawaii,Idaho,Idaho,Illinois,Illinois,Indiana,Indiana,Iowa,Iowa,Kansas,Kansas,Kentucky,Kentucky,Louisiana,Louisiana,Maine,Maine,Maryland,Maryland,Massachusetts,Massachusetts,Michigan,Michigan,Minnesota,Minnesota,Mississippi,Mississippi,Missouri,Missouri,Montana,Montana,National,National,Nebraska,Nebraska,Nevada,Nevada,New Hampshire,New Hampshire,New Jersey,New Jersey,New Mexico,New Mexico,New York,New York,North Carolina,North Carolina,North Dakota,North Dakota,Ohio,Ohio,Oklahoma,Oklahoma,Oregon,Oregon,Pennsylvania,Pennsylvania,Rhode Island,Rhode Island,South Carolina,South Carolina,South Dakota,South Dakota,Tennessee,Tennessee,Texas,Texas,Utah,Utah,Vermont,Vermont,Virginia,Virginia,Washington,Washington,West Virginia,West Virginia,Wisconsin,Wisconsin,Wyoming,Wyoming
Gender,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male
Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,211.0,203.0,222.0,215.0,211.0,200.0,216.0,210.0,208.0,204.0,222.0,215.0,233.0,226.0,226.0,222.0,218.0,210.0,219.0,211.0,213.0,203.0,224.0,216.0,222.0,215.0,224.0,220.0,226.0,220.0,226.0,218.0,224.0,215.0,210.0,204.0,228.0,222.0,220.0,214.0,237.0,231.0,222.0,216.0,230.0,221.0,206.0,200.0,224.0,216.0,229.0,219.0,222.0,215.0,225.0,218.0,212.0,206.0,222.0,215.0,222.0,215.0,211.0,204.0,227.0,217.0,225.0,218.0,227.0,221.0,225.0,220.0,217.0,210.0,224.0,215.0,223.0,218.0,222.0,217.0,218.0,209.0,222.0,215.0,217.0,211.0,219.0,215.0,225.0,218.0,231.0,223.0,227.0,223.0,227.0,220.0,221.0,217.0,222.0,215.0,224.0,219.0
2003,211.0,204.0,218.0,205.0,212.0,206.0,218.0,209.0,209.0,202.0,227.0,220.0,232.0,224.0,226.0,222.0,222.0,214.0,218.0,210.0,215.0,202.0,221.0,216.0,219.0,214.0,224.0,216.0,227.0,220.0,224.0,216.0,223.0,215.0,210.0,200.0,226.0,221.0,222.0,215.0,231.0,225.0,222.0,216.0,229.0,216.0,209.0,202.0,226.0,219.0,228.0,218.0,222.0,215.0,223.0,218.0,211.0,202.0,232.0,224.0,229.0,222.0,206.0,201.0,226.0,218.0,227.0,216.0,225.0,218.0,226.0,218.0,217.0,210.0,223.0,213.0,222.0,215.0,220.0,213.0,219.0,211.0,225.0,220.0,217.0,208.0,218.0,212.0,224.0,215.0,229.0,224.0,228.0,219.0,226.0,216.0,223.0,215.0,225.0,217.0,225.0,219.0
2005,211.0,205.0,215.0,207.0,211.0,203.0,221.0,213.0,210.0,203.0,227.0,221.0,230.0,222.0,229.0,223.0,222.0,217.0,219.0,210.0,214.0,205.0,225.0,218.0,218.0,215.0,222.0,214.0,224.0,218.0,223.0,218.0,222.0,218.0,211.0,208.0,228.0,221.0,223.0,217.0,233.0,230.0,221.0,216.0,229.0,221.0,208.0,200.0,224.0,218.0,227.0,222.0,222.0,216.0,224.0,219.0,212.0,203.0,231.0,224.0,226.0,221.0,211.0,203.0,225.0,220.0,221.0,213.0,227.0,222.0,226.0,219.0,217.0,211.0,220.0,213.0,227.0,219.0,221.0,212.0,217.0,210.0,227.0,219.0,218.0,210.0,222.0,216.0,226.0,216.0,230.0,223.0,228.0,223.0,228.0,219.0,218.0,211.0,224.0,219.0,226.0,221.0
2007,219.0,213.0,219.0,210.0,214.0,206.0,221.0,213.0,213.0,204.0,226.0,221.0,231.0,224.0,228.0,222.0,227.0,220.0,222.0,216.0,219.0,208.0,226.0,221.0,222.0,217.0,224.0,219.0,228.0,222.0,228.0,221.0,226.0,219.0,212.0,203.0,228.0,223.0,228.0,221.0,238.0,233.0,224.0,216.0,227.0,223.0,212.0,204.0,225.0,216.0,228.0,225.0,224.0,218.0,225.0,221.0,214.0,208.0,232.0,226.0,234.0,228.0,213.0,210.0,227.0,220.0,222.0,214.0,229.0,224.0,228.0,223.0,220.0,214.0,218.0,212.0,230.0,223.0,223.0,215.0,218.0,210.0,227.0,220.0,219.0,213.0,223.0,217.0,225.0,217.0,232.0,225.0,230.0,224.0,227.0,221.0,220.0,211.0,224.0,222.0,228.0,222.0
2009,221.0,212.0,216.0,207.0,213.0,207.0,222.0,211.0,213.0,207.0,229.0,222.0,234.0,225.0,228.0,223.0,229.0,223.0,221.0,214.0,217.0,205.0,226.0,217.0,224.0,215.0,227.0,218.0,226.0,217.0,226.0,222.0,229.0,222.0,212.0,203.0,228.0,220.0,229.0,223.0,236.0,231.0,222.0,214.0,227.0,220.0,213.0,208.0,229.0,219.0,228.0,222.0,224.0,218.0,225.0,220.0,214.0,208.0,233.0,226.0,232.0,227.0,213.0,203.0,228.0,221.0,224.0,215.0,229.0,223.0,227.0,222.0,220.0,214.0,223.0,214.0,226.0,221.0,228.0,218.0,219.0,213.0,225.0,220.0,220.0,214.0,222.0,216.0,222.0,217.0,231.0,226.0,230.0,223.0,226.0,217.0,218.0,211.0,224.0,217.0,226.0,219.0
2011,223.0,218.0,212.0,204.0,216.0,209.0,219.0,214.0,214.0,209.0,228.0,219.0,232.0,224.0,228.0,223.0,228.0,221.0,226.0,216.0,219.0,208.0,224.0,218.0,222.0,217.0,225.0,217.0,224.0,218.0,228.0,219.0,227.0,223.0,215.0,206.0,225.0,219.0,234.0,227.0,239.0,234.0,222.0,216.0,225.0,219.0,215.0,204.0,225.0,215.0,229.0,222.0,225.0,218.0,226.0,220.0,216.0,210.0,235.0,226.0,233.0,229.0,211.0,205.0,226.0,219.0,225.0,217.0,228.0,223.0,226.0,222.0,219.0,213.0,221.0,212.0,232.0,223.0,227.0,218.0,220.0,210.0,223.0,217.0,219.0,211.0,220.0,216.0,223.0,218.0,230.0,224.0,230.0,223.0,226.0,216.0,219.0,210.0,224.0,219.0,228.0,221.0
2013,223.0,215.0,212.0,206.0,216.0,210.0,223.0,215.0,216.0,210.0,231.0,223.0,232.0,227.0,228.0,224.0,231.0,224.0,225.0,219.0,221.0,209.0,222.0,217.0,222.0,215.0,229.0,222.0,227.0,221.0,227.0,220.0,228.0,221.0,215.0,207.0,228.0,221.0,236.0,228.0,235.0,229.0,221.0,214.0,231.0,223.0,210.0,207.0,226.0,219.0,226.0,220.0,225.0,219.0,225.0,221.0,218.0,210.0,235.0,229.0,231.0,226.0,210.0,202.0,227.0,221.0,226.0,219.0,228.0,220.0,227.0,221.0,221.0,213.0,224.0,215.0,231.0,221.0,228.0,218.0,218.0,209.0,222.0,214.0,223.0,216.0,219.0,215.0,227.0,219.0,233.0,223.0,232.0,225.0,228.0,222.0,219.0,211.0,225.0,216.0,229.0,223.0
2015,221.0,213.0,216.0,210.0,220.0,211.0,223.0,213.0,216.0,210.0,228.0,221.0,233.0,225.0,226.0,221.0,231.0,224.0,225.0,219.0,220.0,211.0,225.0,218.0,225.0,219.0,230.0,224.0,226.0,221.0,225.0,217.0,230.0,226.0,222.0,211.0,228.0,220.0,228.0,218.0,238.0,233.0,219.0,214.0,229.0,218.0,217.0,212.0,226.0,219.0,229.0,221.0,226.0,219.0,231.0,222.0,216.0,213.0,238.0,227.0,233.0,226.0,213.0,202.0,226.0,219.0,230.0,222.0,226.0,224.0,228.0,222.0,225.0,219.0,224.0,217.0,231.0,223.0,228.0,223.0,223.0,213.0,223.0,218.0,224.0,214.0,221.0,215.0,230.0,222.0,234.0,226.0,232.0,227.0,233.0,219.0,220.0,212.0,226.0,220.0,231.0,226.0
2017,220.0,213.0,211.0,203.0,218.0,213.0,221.0,212.0,220.0,211.0,228.0,222.0,231.0,226.0,226.0,217.0,231.0,226.0,223.0,216.0,221.0,212.0,225.0,220.0,224.0,217.0,229.0,224.0,225.0,219.0,226.0,221.0,226.0,222.0,213.0,210.0,224.0,219.0,230.0,221.0,239.0,233.0,222.0,214.0,227.0,222.0,219.0,212.0,225.0,221.0,225.0,220.0,225.0,219.0,228.0,221.0,219.0,211.0,230.0,228.0,237.0,229.0,212.0,204.0,225.0,219.0,227.0,221.0,227.0,217.0,227.0,223.0,220.0,213.0,223.0,212.0,226.0,224.0,226.0,221.0,217.0,210.0,224.0,219.0,223.0,215.0,216.0,213.0,230.0,221.0,230.0,223.0,229.0,226.0,226.0,220.0,222.0,213.0,223.0,217.0,230.0,224.0
2019,217.0,207.0,208.0,201.0,218.0,213.0,218.0,213.0,221.0,212.0,229.0,221.0,228.0,221.0,221.0,214.0,229.0,220.0,222.0,214.0,222.0,213.0,228.0,217.0,221.0,215.0,226.0,218.0,223.0,218.0,223.0,215.0,224.0,218.0,215.0,205.0,225.0,218.0,222.0,217.0,236.0,226.0,222.0,214.0,225.0,220.0,223.0,216.0,222.0,214.0,226.0,218.0,224.0,217.0,227.0,218.0,221.0,214.0,229.0,220.0,231.0,224.0,212.0,204.0,222.0,217.0,227.0,216.0,225.0,217.0,224.0,220.0,218.0,214.0,220.0,215.0,228.0,219.0,223.0,218.0,220.0,212.0,224.0,220.0,221.0,217.0,220.0,212.0,229.0,221.0,226.0,218.0,227.0,221.0,222.0,217.0,218.0,208.0,224.0,216.0,228.0,226.0
2022,218.0,208.0,210.0,197.0,218.0,213.0,217.0,208.0,218.0,211.0,225.0,221.0,219.0,219.0,212.0,204.0,228.0,221.0,221.0,211.0,225.0,213.0,219.0,211.0,219.0,217.0,219.0,216.0,220.0,216.0,218.0,211.0,218.0,215.0,217.0,208.0,216.0,210.0,215.0,210.0,230.0,224.0,215.0,209.0,219.0,212.0,223.0,212.0,216.0,211.0,223.0,214.0,221.0,214.0,222.0,216.0,213.0,210.0,226.0,219.0,229.0,217.0,207.0,198.0,214.0,213.0,219.0,213.0,221.0,214.0,222.0,216.0,214.0,203.0,214.0,207.0,221.0,217.0,223.0,212.0,220.0,213.0,224.0,213.0,217.0,211.0,216.0,212.0,223.0,219.0,219.0,215.0,221.0,208.0,219.0,214.0,207.0,204.0,222.0,213.0,226.0,223.0
