Year,Jurisdiction,Gender,Average scale score
2022,National,Male,214
2022,National,Female,221
2022,Alabama,Male,208
2022,Alabama,Female,218
2022,Alaska,Male,197
2022,Alaska,Female,210
2022,Arizona,Male,213
2022,Arizona,Female,218
2022,Arkansas,Male,208
2022,Arkansas,Female,217
2022,California,Male,211
2022,California,Female,218
2022,Colorado,Male,221
2022,Colorado,Female,225
2022,Connecticut,Male,219
2022,Connecticut,Female,219
2022,Delaware,Male,204
2022,Delaware,Female,212
2022,District of Columbia,Male,203
2022,District of Columbia,Female,211
2022,DoDEA,Male,232
2022,DoDEA,Female,238
2022,Florida,Male,221
2022,Florida,Female,228
2022,Georgia,Male,211
2022,Georgia,Female,221
2022,Hawaii,Male,213
2022,Hawaii,Female,225
2022,Idaho,Male,211
2022,Idaho,Female,219
2022,Illinois,Male,217
2022,Illinois,Female,219
2022,Indiana,Male,216
2022,Indiana,Female,219
2022,Iowa,Male,216
2022,Iowa,Female,220
2022,Kansas,Male,211
2022,Kansas,Female,218
2022,Kentucky,Male,215
2022,Kentucky,Female,218
2022,Louisiana,Male,208
2022,Louisiana,Female,217
2022,Maine,Male,210
2022,Maine,Female,216
2022,Maryland,Male,210
2022,Maryland,Female,215
2022,Massachusetts,Male,224
2022,Massachusetts,Female,230
2022,Michigan,Male,209
2022,Michigan,Female,215
2022,Minnesota,Male,212
2022,Minnesota,Female,219
2022,Mississippi,Male,212
2022,Mississippi,Female,223
2022,Missouri,Male,211
2022,Missouri,Female,216
2022,Montana,Male,214
2022,Montana,Female,223
2022,Nebraska,Male,216
2022,Nebraska,Female,222
2022,Nevada,Male,210
2022,Nevada,Female,213
2022,New Hampshire,Male,219
2022,New Hampshire,Female,226
2022,New Jersey,Male,217
2022,New Jersey,Female,229
2022,New Mexico,Male,198
2022,New Mexico,Female,207
2022,New York,Male,213
2022,New York,Female,214
2022,North Carolina,Male,213
2022,North Carolina,Female,219
2022,North Dakota,Male,214
2022,North Dakota,Female,221
2022,Ohio,Male,216
2022,Ohio,Female,222
2022,Oklahoma,Male,203
2022,Oklahoma,Female,214
2022,Oregon,Male,207
2022,Oregon,Female,214
2022,Pennsylvania,Male,217
2022,Pennsylvania,Female,221
2022,Rhode Island,Male,212
2022,Rhode Island,Female,223
2022,South Carolina,Male,213
2022,South Carolina,Female,220
2022,South Dakota,Male,213
2022,South Dakota,Female,224
2022,Tennessee,Male,211
2022,Tennessee,Female,217
2022,Texas,Male,212
2022,Texas,Female,216
2022,Utah,Male,219
2022,Utah,Female,223
2022,Vermont,Male,215
2022,Vermont,Female,219
2022,Virginia,Male,208
2022,Virginia,Female,221
2022,Washington,Male,214
2022,Washington,Female,219
2022,West Virginia,Male,204
2022,West Virginia,Female,207
2022,Wisconsin,Male,213
2022,Wisconsin,Female,222
2022,Wyoming,Male,223
2022,Wyoming,Female,226
2019,National,Male,217
2019,National,Female,224
2019,Alabama,Male,207
2019,Alabama,Female,217
2019,Alaska,Male,201
2019,Alaska,Female,208
2019,Arizona,Male,213
2019,Arizona,Female,218
2019,Arkansas,Male,213
2019,Arkansas,Female,218
2019,California,Male,212
2019,California,Female,221
2019,Colorado,Male,221
2019,Colorado,Female,229
2019,Connecticut,Male,221
2019,Connecticut,Female,228
2019,Delaware,Male,214
2019,Delaware,Female,221
2019,District of Columbia,Male,209
2019,District of Columbia,Female,220
2019,DoDEA,Male,232
2019,DoDEA,Female,238
2019,Florida,Male,220
2019,Florida,Female,229
2019,Georgia,Male,214
2019,Georgia,Female,222
2019,Hawaii,Male,213
2019,Hawaii,Female,222
2019,Idaho,Male,217
2019,Idaho,Female,228
2019,Illinois,Male,215
2019,Illinois,Female,221
2019,Indiana,Male,218
2019,Indiana,Female,226
2019,Iowa,Male,218
