Year,Jurisdiction,Gender,Average scale score
2022,National,Male,256.0
2022,National,Female,265.0
2022,Alabama,Male,245.0
2022,Alabama,Female,257.0
2022,Alaska,Male,245.0
2022,Alaska,Female,261.0
2022,Arizona,Male,254.0
2022,Arizona,Female,263.0
2022,Arkansas,Male,250.0
2022,Arkansas,Female,260.0
2022,California,Male,256.0
2022,California,Female,261.0
2022,Colorado,Male,257.0
2022,Colorado,Female,270.0
2022,Connecticut,Male,257.0
2022,Connecticut,Female,271.0
2022,Delaware,Male,248.0
2022,Delaware,Female,258.0
2022,Florida,Male,255.0
2022,Florida,Female,265.0
2022,Georgia,Male,255.0
2022,Georgia,Female,265.0
2022,Hawaii,Male,253.0
2022,Hawaii,Female,266.0
2022,Idaho,Male,259.0
2022,Idaho,Female,268.0
2022,Illinois,Male,257.0
2022,Illinois,Female,266.0
2022,Indiana,Male,257.0
2022,Indiana,Female,265.0
2022,Iowa,Male,256.0
2022,Iowa,Female,263.0
2022,Kansas,Male,252.0
2022,Kansas,Female,261.0
2022,Kentucky,Male,253.0
2022,Kentucky,Female,264.0
2022,Louisiana,Male,252.0
2022,Louisiana,Female,262.0
2022,Maine,Male,250.0
2022,Maine,Female,264.0
2022,Maryland,Male,254.0
2022,Maryland,Female,265.0
2022,Massachusetts,Male,263.0
2022,Massachusetts,Female,274.0
2022,Michigan,Male,254.0
2022,Michigan,Female,263.0
2022,Minnesota,Male,255.0
2022,Minnesota,Female,266.0
2022,Mississippi,Male,249.0
2022,Mississippi,Female,257.0
2022,Missouri,Male,252.0
2022,Missouri,Female,264.0
2022,Montana,Male,256.0
2022,Montana,Female,267.0
2022,Nebraska,Male,254.0
2022,Nebraska,Female,265.0
2022,Nevada,Male,254.0
2022,Nevada,Female,264.0
2022,New Hampshire,Male,259.0
2022,New Hampshire,Female,268.0
2022,New Jersey,Male,268.0
2022,New Jersey,Female,272.0
2022,New Mexico,Male,242.0
2022,New Mexico,Female,254.0
2022,New York,Male,259.0
2022,New York,Female,265.0
2022,North Carolina,Male,251.0
2022,North Carolina,Female,261.0
2022,North Dakota,Male,250.0
2022,North Dakota,Female,266.0
