Jurisdiction,Year,Female,Male,Gap
Alabama,2002,258.0,247.0,-11.0
Alabama,2003,261.0,246.0,-15.0
Alabama,2005,260.0,245.0,-15.0
Alabama,2007,257.0,247.0,-10.0
Alabama,2009,261.0,249.0,-12.0
Alabama,2011,263.0,254.0,-9.0
Alabama,2013,262.0,253.0,-9.0
Alabama,2015,265.0,253.0,-12.0
Alabama,2017,262.0,253.0,-9.0
Alabama,2019,262.0,245.0,-17.0
Alabama,2022,257.0,245.0,-12.0
Alaska,2002,269.0,260.0,-9.0
Alaska,2003,263.0,250.0,-13.0
Alaska,2005,265.0,253.0,-12.0
Alaska,2007,264.0,253.0,-11.0
Alaska,2009,265.0,254.0,-11.0
Alaska,2011,267.0,256.0,-11.0
Alaska,2013,268.0,254.0,-14.0
Alaska,2015,268.0,254.0,-14.0
Alaska,2017,263.0,253.0,-10.0
Alaska,2019,258.0,247.0,-11.0
Alaska,2022,261.0,245.0,-16.0
Arizona,2002,262.0,252.0,-10.0
Arizona,2003,260.0,251.0,-9.0
Arizona,2005,260.0,249.0,-11.0
Arizona,2007,259.0,251.0,-8.0
Arizona,2009,261.0,254.0,-7.0
Arizona,2011,265.0,255.0,-10.0
Arizona,2013,265.0,256.0,-9.0
Arizona,2015,267.0,259.0,-8.0
Arizona,2017,268.0,258.0,-10.0
Arizona,2019,265.0,254.0,-11.0
Arizona,2022,263.0,254.0,-9.0
Arkansas,2002,266.0,255.0,-11.0
Arkansas,2003,263.0,254.0,-9.0
Arkansas,2005,263.0,252.0,-11.0
Arkansas,2007,263.0,253.0,-10.0
Arkansas,2009,262.0,254.0,-8.0
Arkansas,2011,264.0,254.0,-10.0
Arkansas,2013,267.0,257.0,-10.0
Arkansas,2015,265.0,252.0,-13.0
Arkansas,2017,264.0,256.0,-8.0
Arkansas,2019,265.0,253.0,-12.0
Arkansas,2022,260.0,250.0,-10.0
California,2002,255.0,247.0,-8.0
California,2003,255.0,247.0,-8.0
California,2005,255.0,246.0,-9.0
California,2007,257.0,246.0,-11.0
California,2009,257.0,248.0,-9.0
California,2011,261.0,249.0,-12.0
California,2013,267.0,257.0,-10.0
California,2015,263.0,255.0,-8.0
California,2017,268.0,258.0,-10.0
California,2019,264.0,253.0,-11.0
California,2022,261.0,256.0,-5.0
Colorado,2002,269.0,260.0,-9.0
Colorado,2003,274.0,262.0,-12.0
Colorado,2005,268.0,261.0,-7.0
Colorado,2007,271.0,262.0,-9.0
Colorado,2009,270.0,262.0,-8.0
Colorado,2011,274.0,268.0,-6.0
Colorado,2013,275.0,267.0,-8.0
Colorado,2015,275.0,261.0,-14.0
Colorado,2017,275.0,266.0,-9.0
Colorado,2019,273.0,262.0,-11.0
Colorado,2022,270.0,257.0,-13.0
Connecticut,2002,273.0,261.0,-12.0
Connecticut,2003,273.0,262.0,-11.0
Connecticut,2005,270.0,258.0,-12.0
Connecticut,2007,272.0,262.0,-10.0
Connecticut,2009,277.0,267.0,-10.0
Connecticut,2011,279.0,270.0,-9.0
Connecticut,2013,281.0,269.0,-12.0
Connecticut,2015,279.0,268.0,-11.0
Connecticut,2017,277.0,268.0,-9.0
Connecticut,2019,276.0,264.0,-12.0
Connecticut,2022,271.0,257.0,-14.0
Delaware,2002,271.0,264.0,-7.0
Delaware,2003,270.0,260.0,-10.0
Delaware,2005,271.0,261.0,-10.0
Delaware,2007,269.0,260.0,-9.0
Delaware,2009,270.0,260.0,-10.0
Delaware,2011,271.0,260.0,-11.0
Delaware,2013,271.0,261.0,-10.0
Delaware,2015,268.0,257.0,-11.0
Delaware,2017,268.0,258.0,-10.0
Delaware,2019,266.0,254.0,-12.0
Delaware,2022,258.0,248.0,-10.0
Florida,2002,266.0,255.0,-11.0
Florida,2003,263.0,251.0,-12.0
Florida,2005,262.0,249.0,-13.0
Florida,2007,266.0,254.0,-12.0
Florida,2009,269.0,259.0,-10.0
Florida,2011,267.0,257.0,-10.0
Florida,2013,272.0,260.0,-12.0
Florida,2015,269.0,258.0,-11.0
Florida,2017,270.0,263.0,-7.0
Florida,2019,268.0,259.0,-9.0
Florida,2022,265.0,255.0,-10.0
Georgia,2002,263.0,253.0,-10.0
Georgia,2003,263.0,253.0,-10.0
Georgia,2005,263.0,251.0,-12.0
Georgia,2007,264.0,253.0,-11.0
Georgia,2009,266.0,255.0,-11.0
Georgia,2011,267.0,258.0,-9.0
Georgia,2013,270.0,260.0,-10.0
Georgia,2015,269.0,255.0,-14.0
Georgia,2017,272.0,261.0,-11.0
Georgia,2019,269.0,256.0,-13.0
Georgia,2022,265.0,255.0,-10.0
Hawaii,2002,260.0,243.0,-17.0
Hawaii,2003,258.0,245.0,-13.0
Hawaii,2005,256.0,242.0,-14.0
Hawaii,2007,259.0,244.0,-15.0
Hawaii,2009,262.0,248.0,-14.0
Hawaii,2011,263.0,252.0,-11.0
Hawaii,2013,266.0,254.0,-12.0
Hawaii,2015,263.0,252.0,-11.0
Hawaii,2017,269.0,254.0,-15.0
Hawaii,2019,265.0,251.0,-14.0
Hawaii,2022,266.0,253.0,-13.0
Idaho,2002,273.0,259.0,-14.0
Idaho,2003,271.0,258.0,-13.0
Idaho,2005,271.0,258.0,-13.0
Idaho,2007,270.0,260.0,-10.0
Idaho,2009,271.0,259.0,-12.0
Idaho,2011,272.0,264.0,-8.0
Idaho,2013,276.0,265.0,-11.0
Idaho,2015,275.0,263.0,-12.0
Idaho,2017,274.0,266.0,-8.0
Idaho,2019,272.0,261.0,-11.0
Idaho,2022,268.0,259.0,-9.0
Illinois,2002,269.0,260.0,-9.0
Illinois,2003,269.0,264.0,-5.0
Illinois,2005,269.0,258.0,-11.0
Illinois,2007,267.0,259.0,-8.0
Illinois,2009,269.0,260.0,-9.0
Illinois,2011,271.0,261.0,-10.0
Illinois,2013,271.0,263.0,-8.0
Illinois,2015,272.0,262.0,-10.0
Illinois,2017,272.0,262.0,-10.0
Illinois,2019,269.0,260.0,-9.0
Illinois,2022,266.0,257.0,-9.0
Indiana,2002,270.0,260.0,-10.0
Indiana,2003,270.0,259.0,-11.0
Indiana,2005,267.0,256.0,-11.0
Indiana,2007,270.0,259.0,-11.0
Indiana,2009,269.0,263.0,-6.0
Indiana,2011,270.0,260.0,-10.0
Indiana,2013,272.0,262.0,-10.0
Indiana,2015,273.0,264.0,-9.0
Indiana,2017,277.0,267.0,-10.0
Indiana,2019,273.0,259.0,-14.0
Indiana,2022,265.0,257.0,-8.0
Iowa,2002,269.0,260.0,-9.0
Iowa,2003,273.0,261.0,-12.0
Iowa,2005,273.0,261.0,-12.0
Iowa,2007,272.0,263.0,-9.0
Iowa,2009,269.0,261.0,-8.0
Iowa,2011,269.0,261.0,-8.0
Iowa,2013,273.0,265.0,-8.0
Iowa,2015,271.0,265.0,-6.0
Iowa,2017,273.0,262.0,-11.0
Iowa,2019,268.0,257.0,-11.0
Iowa,2022,263.0,256.0,-7.0
Kansas,2002,274.0,265.0,-9.0
Kansas,2003,272.0,260.0,-12.0
Kansas,2005,271.0,262.0,-9.0
Kansas,2007,272.0,263.0,-9.0
Kansas,2009,269.0,265.0,-4.0
Kansas,2011,272.0,263.0,-9.0
Kansas,2013,271.0,263.0,-8.0
Kansas,2015,272.0,262.0,-10.0
Kansas,2017,272.0,263.0,-9.0
Kansas,2019,268.0,258.0,-10.0
