Jurisdiction,Gaps
Alabama,"[-11.0, -15.0, -15.0, -10.0, -12.0, -9.0, -9.0, -12.0, -9.0, -17.0, -12.0]"
Alaska,"[-9.0, -13.0, -12.0, -11.0, -11.0, -11.0, -14.0, -14.0, -10.0, -11.0, -16.0]"
Arizona,"[-10.0, -9.0, -11.0, -8.0, -7.0, -10.0, -9.0, -8.0, -10.0, -11.0, -9.0]"
Arkansas,"[-11.0, -9.0, -11.0, -10.0, -8.0, -10.0, -10.0, -13.0, -8.0, -12.0, -10.0]"
California,"[-8.0, -8.0, -9.0, -11.0, -9.0, -12.0, -10.0, -8.0, -10.0, -11.0, -5.0]"
Colorado,"[-9.0, -12.0, -7.0, -9.0, -8.0, -6.0, -8.0, -14.0, -9.0, -11.0, -13.0]"
Connecticut,"[-12.0, -11.0, -12.0, -10.0, -10.0, -9.0, -12.0, -11.0, -9.0, -12.0, -14.0]"
Delaware,"[-7.0, -10.0, -10.0, -9.0, -10.0, -11.0, -10.0, -11.0, -10.0, -12.0, -10.0]"
Florida,"[-11.0, -12.0, -13.0, -12.0, -10.0, -10.0, -12.0, -11.0, -7.0, -9.0, -10.0]"
Georgia,"[-10.0, -10.0, -12.0, -11.0, -11.0, -9.0, -10.0, -14.0, -11.0, -13.0, -10.0]"
Hawaii,"[-17.0, -13.0, -14.0, -15.0, -14.0, -11.0, -12.0, -11.0, -15.0, -14.0, -13.0]"
Idaho,"[-14.0, -13.0, -13.0, -10.0, -12.0, -8.0, -11.0, -12.0, -8.0, -11.0, -9.0]"
Illinois,"[-9.0, -5.0, -11.0, -8.0, -9.0, -10.0, -8.0, -10.0, -10.0, -9.0, -9.0]"
Indiana,"[-10.0, -11.0, -11.0, -11.0, -6.0, -10.0, -10.0, -9.0, -10.0, -14.0, -8.0]"
Iowa,"[-9.0, -12.0, -12.0, -9.0, -8.0, -8.0, -8.0, -6.0, -11.0, -11.0, -7.0]"
Kansas,"[-9.0, -12.0, -9.0, -9.0, -4.0, -9.0, -8.0, -10.0, -9.0, -10.0, -9.0]"
Kentucky,"[-9.0, -11.0, -12.0, -9.0, -8.0, -10.0, -7.0, -10.0, -15.0, -10.0, -11.0]"
Louisiana,"[-8.0, -10.0, -12.0, -10.0, -10.0, -8.0, -9.0, -9.0, -8.0, -9.0, -10.0]"
Maine,"[-10.0, -13.0, -12.0, -12.0, -11.0, -10.0, -14.0, -9.0, -14.0, -13.0, -14.0]"
Maryland,"[-11.0, -14.0, -10.0, -10.0, -10.0, -8.0, -9.0, -16.0, -11.0, -9.0, -11.0]"
Massachusetts,"[-9.0, -10.0, -9.0, -9.0, -10.0, -9.0, -8.0, -7.0, -9.0, -12.0, -11.0]"
Michigan,"[-11.0, -11.0, -10.0, -11.0, -10.0, -11.0, -9.0, -10.0, -11.0, -11.0, -9.0]"
Minnesota,"[-9.0, -13.0, -11.0, -11.0, -10.0, -8.0, -10.0, -12.0, -12.0, -12.0, -11.0]"
Mississippi,"[-8.0, -11.0, -9.0, -9.0, -7.0, -10.0, -11.0, -11.0, -5.0, -9.0, -8.0]"
Missouri,"[-6.0, -8.0, -10.0, -9.0, -10.0, -11.0, -12.0, -14.0, -10.0, -16.0, -12.0]"
Montana,"[-7.0, -12.0, -9.0, -13.0, -11.0, -10.0, -9.0, -10.0, -13.0, -14.0, -11.0]"
National,"[-9.0, -11.0, -10.0, -10.0, -10.0, -9.0, -10.0, -9.0, -10.0, -11.0, -9.0]"
Nebraska,"[-7.0, -10.0, -13.0, -10.0, -9.0, -8.0, -9.0, -11.0, -7.0, -8.0, -11.0]"
Nevada,"[-11.0, -12.0, -11.0, -14.0, -12.0, -12.0, -10.0, -11.0, -10.0, -9.0, -10.0]"
New Hampshire,"[-9.0, -11.0, -11.0, -11.0, -13.0, -8.0, -11.0, -12.0, -10.0, -14.0, -9.0]"
New Jersey,"[-9.0, -9.0, -7.0, -8.0, -8.0, -10.0, -11.0, -8.0, -9.0, -10.0, -4.0]"
New Mexico,"[-8.0, -11.0, -8.0, -8.0, -6.0, -8.0, -8.0, -10.0, -8.0, -14.0, -12.0]"
New York,"[-6.0, -12.0, -10.0, -11.0, -11.0, -9.0, -11.0, -9.0, -12.0, -10.0, -6.0]"
North Carolina,"[-10.0, -11.0, -15.0, -11.0, -14.0, -14.0, -13.0, -14.0, -12.0, -13.0, -10.0]"
North Dakota,"[-10.0, -11.0, -7.0, -8.0, -9.0, -9.0, -10.0, -9.0, -13.0, -11.0, -16.0]"
Ohio,"[-7.0, -7.0, -11.0, -8.0, -7.0, -10.0, -10.0, -10.0, -11.0, -10.0, -8.0]"
Oklahoma,"[-10.0, -12.0, -11.0, -9.0, -9.0, -8.0, -8.0, -8.0, -8.0, -12.0, -9.0]"
Oregon,"[-9.0, -11.0, -10.0, -11.0, -10.0, -9.0, -11.0, -12.0, -13.0, -10.0, -6.0]"
Pennsylvania,"[-5.0, -11.0, -9.0, -5.0, -7.0, -9.0, -6.0, -8.0, -8.0, -11.0, -9.0]"
Rhode Island,"[-8.0, -10.0, -10.0, -5.0, -10.0, -11.0, -11.0, -10.0, -12.0, -10.0, -9.0]"
South Carolina,"[-10.0, -10.0, -10.0, -9.0, -13.0, -10.0, -11.0, -13.0, -11.0, -12.0, -8.0]"
South Dakota,"[-9.0, -10.0, -9.0, -8.0, -9.0, -8.0, -12.0, -9.0, -11.0, -12.0, -12.0]"
Tennessee,"[-12.0, -13.0, -9.0, -10.0, -8.0, -9.0, -7.0, -8.0, -12.0, -11.0, -15.0]"
Texas,"[-11.0, -12.0, -9.0, -10.0, -8.0, -3.0, -8.0, -9.0, -7.0, -10.0, -4.0]"
