"Jurisdiction","G4_Cluster","G8_Cluster"
"Alabama",3,2
"Alaska",3,2
"Arizona",2,3
"Arkansas",4,3
"California",3,1
"Colorado",4,1
"Connecticut",2,2
"Delaware",4,1
"Florida",3,1
"Georgia",4,3
"Hawaii",1,2
"Idaho",4,3
"Illinois",3,3
"Indiana",3,3
"Iowa",4,1
"Kansas",4,4
"Kentucky",3,3
"Louisiana",3,1
"Maine",3,2
"Maryland",2,3
"Massachusetts",3,3
"Michigan",2,3
"Minnesota",4,3
"Mississippi",4,3
"Missouri",2,1
"Montana",2,3
"National",4,3
"Nebraska",3,1
"Nevada",2,1
"New Hampshire",4,3
"New Jersey",4,1
"New Mexico",4,1
"New York",3,3
"North Carolina",1,2
"North Dakota",2,1
"Ohio",3,1
"Oklahoma",3,1
"Oregon",3,3
"Pennsylvania",2,4
"Rhode Island",4,1
"South Carolina",1,3
"South Dakota",3,1
"Tennessee",1,1
"Texas",3,4
"Utah",4,2
"Vermont",2,2
"Virginia",4,1
"Washington",4,2
"West Virginia",4,2
"Wisconsin",2,2
"Wyoming",3,2
